seed_gid,component_id,cluster_id,component_nodes,component_seed,component_internal_kzt,component_edges,reachable_nodes,max_depth_reached
100000000343175100,1,12,1877,46,342125465.01,2735,72,4
100000000456947100,17,73,1,1,0.0,0,0,0
100000000580561100,6,45,6,1,1527967.0,7,5,2
100000001415126100,1,20,1877,46,342125465.01,2735,0,0
100000001429930100,1,14,1877,46,342125465.01,2735,0,0
100000001616816100,1,9,1877,46,342125465.01,2735,6,2
100000001732159100,1,41,1877,46,342125465.01,2735,5,2
100000002527114100,2,2,270,1,10178044.0,279,269,4
100000002916006100,1,20,1877,46,342125465.01,2735,1,1
100000003016635100,1,5,1877,46,342125465.01,2735,580,4
100000003200071100,15,69,2,1,30000.0,1,1,1
100000003265658100,18,74,1,1,0.0,0,0,0
100000003349739100,19,75,1,1,0.0,0,0,0
100000003684369100,1,4,1877,46,342125465.01,2735,120,4
100000003770083100,20,76,1,1,0.0,0,0,0
100000003975102100,1,5,1877,46,342125465.01,2735,7,3
100000003977183100,1,9,1877,46,342125465.01,2735,10,4
100000004007116100,3,26,17,1,2977887.0,31,16,4
100000004019124100,1,5,1877,46,342125465.01,2735,0,0
100000004021459100,21,77,1,1,0.0,0,0,0
100000004041163100,1,20,1877,46,342125465.01,2735,2,1
100000004174835100,22,78,1,1,0.0,0,0,0
100000004193835100,1,5,1877,46,342125465.01,2735,3,3
100000004269433100,1,16,1877,46,342125465.01,2735,110,4
100000004358004100,1,4,1877,46,342125465.01,2735,241,4
100000004388983100,14,66,3,1,450816.0,2,2,1
100000004714705100,1,20,1877,46,342125465.01,2735,2,2
100000004723755100,1,4,1877,46,342125465.01,2735,561,4
100000004813068100,1,25,1877,46,342125465.01,2735,13,3
100000004971871100,12,60,4,1,79050.0,4,3,3
100000005017150100,23,79,1,1,0.0,0,0,0
100000005087431100,24,80,1,1,0.0,0,0,0
100000005235389100,25,81,1,1,0.0,0,0,0
100000005264990100,1,20,1877,46,342125465.01,2735,6,3
100000005370580100,1,14,1877,46,342125465.01,2735,0,0
100000005382566100,1,20,1877,46,342125465.01,2735,2,2
100000005386383100,1,20,1877,46,342125465.01,2735,3,3
100000005392290100,16,70,2,1,81465.0,1,1,1
100000005395727100,1,16,1877,46,342125465.01,2735,0,0
100000005409680100,1,18,1877,46,342125465.01,2735,0,0
100000005417257100,1,20,1877,46,342125465.01,2735,3,2
100000005454368100,1,14,1877,46,342125465.01,2735,0,0
100000005480435100,26,82,1,1,0.0,0,0,0
100000005485830100,7,47,6,1,275885.0,5,5,1
100000005493505100,1,14,1877,46,342125465.01,2735,0,0
100000005495722100,27,83,1,1,0.0,0,0,0
100000005498992100,1,3,1877,46,342125465.01,2735,323,4
100000005519347100,1,5,1877,46,342125465.01,2735,1,1
100000005523088100,1,20,1877,46,342125465.01,2735,0,0
100000005543136100,1,14,1877,46,342125465.01,2735,1,1
100000005550592100,28,84,1,1,0.0,0,0,0
100000005560900100,29,85,1,1,0.0,0,0,0
100000005568407100,30,86,1,1,0.0,0,0,0
100000005668605100,1,20,1877,46,342125465.01,2735,0,0
100000005744674100,1,20,1877,46,342125465.01,2735,3,3
100000006232815100,4,30,13,1,1392916.0,14,12,3
100000006249740100,10,54,5,2,108007.0,4,3,1
100000006831291100,10,54,5,2,108007.0,4,1,1
100000006866783100,1,1,1877,46,342125465.01,2735,1111,4
100000007018630100,13,62,3,1,450000.0,2,2,2
100000007747786100,1,11,1877,46,342125465.01,2735,96,4
100000007982728100,1,9,1877,46,342125465.01,2735,132,4
100000008117324100,31,87,1,1,0.0,0,0,0
100000008205000100,32,88,1,1,0.0,0,0,0
100000008314203100,1,41,1877,46,342125465.01,2735,5,2
100000008418835100,1,16,1877,46,342125465.01,2735,231,4
100000008513251100,33,89,1,1,0.0,0,0,0
100000008516839100,1,20,1877,46,342125465.01,2735,0,0
100000008522127100,1,64,1877,46,342125465.01,2735,129,4
100000008571433100,9,53,5,1,2809200.0,7,4,2
100000008575624100,8,50,6,1,383300.0,8,5,2
100000008601794100,11,57,4,1,1404980.0,5,3,2
100000008637537100,1,41,1877,46,342125465.01,2735,5,2
100000008650785100,1,5,1877,46,342125465.01,2735,3,2
100000008654653100,1,5,1877,46,342125465.01,2735,1,1
100000008659445100,5,44,6,1,1615030.0,14,5,2
100000008669037100,34,90,1,1,0.0,0,0,0
100000008673001100,1,20,1877,46,342125465.01,2735,0,0
100000008680731100,1,13,1877,46,342125465.01,2735,93,4
100000008701222100,35,91,1,1,0.0,0,0,0
100000008738325100,1,20,1877,46,342125465.01,2735,1,1
