depth,flag,n_nodes,share_depth,avg_priority_score,top_gids,meaning
0,gives_more_than_received,19,0.2346,0.518028,100000003684369100;100000006866783100;100000003016635100;100000000343175100;100000008637537100,исходящий поток выше видимого входа
0,cycle,18,0.2222,0.532339,100000003684369100;100000006866783100;100000003016635100;100000005382566100;100000008637537100,узел входит в направленный возвратный поток
0,repeat_amount,10,0.1235,0.531962,100000003684369100;100000006866783100;100000003016635100;100000008637537100;100000001732159100,одна и та же сумма отправлялась многократно
0,chain_transit,6,0.0741,0.733344,100000003684369100;100000006866783100;100000003016635100;100000000343175100;100000008637537100,узел является внутренним звеном сквозной цепочки
0,relay_route,6,0.0741,0.627248,100000006866783100;100000003016635100;100000008637537100;100000001732159100;100000008314203100,узел является посредником устойчивого маршрута пересылки
0,sync_payers,3,0.037,0.83341,100000003684369100;100000006866783100;100000003016635100,несколько разных плательщиков в один день
0,near_threshold,2,0.0247,0.702705,100000003016635100;100000001616816100,много входящих переводов у порога 5-10 тыс. KZT
1,cycle,81,0.1716,0.632447,100000003115284100;100000004156082100;100000004015047100;100000004299488100;100000004403675100,узел входит в направленный возвратный поток
1,gives_more_than_received,80,0.1695,0.584276,100000001530983100;100000004156082100;100000008165763100;100000005527892100;100000004403675100,исходящий поток выше видимого входа
1,chain_transit,21,0.0445,0.74084,100000003115284100;100000004299488100;100000004070318100;100000005612411100;100000008304139100,узел является внутренним звеном сквозной цепочки
1,relay_route,11,0.0233,0.787261,100000004299488100;100000004070318100;100000008304139100;100000006518161100;100000004847758100,узел является посредником устойчивого маршрута пересылки
1,repeat_amount,11,0.0233,0.713407,100000004299488100;100000004070318100;100000005287097100;100000004847758100;100000004390333100,одна и та же сумма отправлялась многократно
1,sync_payers,8,0.0169,0.808672,100000003115284100;100000008165763100;100000006889963100;100000004299488100;100000007055802100,несколько разных плательщиков в один день
1,near_threshold,6,0.0127,0.531697,100000008244300100;100000002941114100;100000004180097100;100000003886323100;100000006562026100,много входящих переводов у порога 5-10 тыс. KZT
2,cycle,116,0.2511,0.592477,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000008477350100,узел входит в направленный возвратный поток
2,gives_more_than_received,110,0.2381,0.601559,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000008477350100,исходящий поток выше видимого входа
2,chain_transit,27,0.0584,0.793006,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000008477350100,узел является внутренним звеном сквозной цепочки
2,near_threshold,16,0.0346,0.618076,100000002957787100;100000000332284100;100000008546855100;100000003741418100;100000003159641100,много входящих переводов у порога 5-10 тыс. KZT
2,repeat_amount,16,0.0346,0.724701,100000008603629100;100000000437046100;100000000331309100;100000005933757100;100000007594394100,одна и та же сумма отправлялась многократно
2,sync_payers,16,0.0346,0.835852,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000001857829100,несколько разных плательщиков в один день
2,relay_route,9,0.0195,0.841892,100000008603629100;100000000437046100;100000002398779100;100000008710791100;100000007594394100,узел является посредником устойчивого маршрута пересылки
3,gives_more_than_received,145,0.1838,0.467228,100000005910114100;100000008489922100;100000008517538100;100000005704413100;100000007593823100,исходящий поток выше видимого входа
3,cycle,83,0.1052,0.469425,100000005910114100;100000008489922100;100000005704413100;100000007593823100;100000005048668100,узел входит в направленный возвратный поток
3,chain_transit,22,0.0279,0.590932,100000005910114100;100000008489922100;100000005610717100;100000007593823100;100000005048668100,узел является внутренним звеном сквозной цепочки
3,repeat_amount,14,0.0177,0.608876,100000005910114100;100000008489922100;100000007593823100;100000008465789100;100000003880331100,одна и та же сумма отправлялась многократно
3,sync_payers,10,0.0127,0.643013,100000001282143100;100000002369874100;100000002547110100;100000001303311100;100000002849158100,несколько разных плательщиков в один день
3,near_threshold,7,0.0089,0.429876,100000006111439100;100000003899899100;100000002696152100;100000008097580100;100000003636627100,много входящих переводов у порога 5-10 тыс. KZT
3,relay_route,7,0.0089,0.554455,100000007593823100;100000003880331100;100000008561016100;100000004906181100;100000008121806100,узел является посредником устойчивого маршрута пересылки
4,boundary_likely_continues,10,0.0225,0.284202,100000003037476100;100000003072205100;100000004652395100;100000006638021100;100000005783452100,граничный узел с вероятным скрытым исходящим продолжением
4,near_threshold,8,0.018,0.214875,100000000557536100;100000006756956100;100000002119762100;100000004610802100;100000006490615100,много входящих переводов у порога 5-10 тыс. KZT
4,sync_payers,1,0.0023,0.2999,100000004652395100,несколько разных плательщиков в один день
