role,depth,n_nodes,share_role,n_seed,boundary_nodes,avg_priority_score,top_gids
coordinator,1,4,0.2353,0,0,0.909262,100000004156082100;100000005527892100;100000004403675100;100000004351795100
coordinator,2,10,0.5882,0,0,0.943831,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000008477350100
coordinator,3,3,0.1765,0,0,0.890185,100000005910114100;100000008489922100;100000007593823100
consolidator,0,1,0.0213,1,0,0.751553,100000005382566100
consolidator,1,20,0.4255,0,0,0.788918,100000003115284100;100000006889963100;100000004015047100;100000004299488100;100000004759121100
consolidator,2,18,0.383,0,0,0.79524,100000002398779100;100000008730846100;100000007594394100;100000003747133100;100000008111003100
consolidator,3,8,0.1702,0,0,0.729132,100000005610717100;100000005830339100;100000001282143100;100000002369874100;100000003157679100
distributor,0,10,0.1695,10,0,0.50681,100000003684369100;100000006866783100;100000003016635100;100000000343175100;100000002527114100
distributor,1,15,0.2542,0,0,0.735302,100000001530983100;100000004070318100;100000005612411100;100000008304139100;100000005287097100
distributor,2,22,0.3729,0,0,0.804949,100000008733194100;100000008731444100;100000005933757100;100000008710791100;100000008743913100
distributor,3,12,0.2034,0,0,0.664518,100000008517538100;100000005704413100;100000005048668100;100000008465789100;100000003213473100
transit,1,21,0.3088,0,0,0.655703,100000008165763100;100000003635170100;100000006518161100;100000003265158100;100000006069103100
transit,2,17,0.25,0,0,0.565069,100000008324800100;100000000291906100;100000004820260100;100000005519998100;100000000489417100
transit,3,30,0.4412,0,0,0.552388,100000008692291100;100000008086440100;100000008192264100;100000008379273100;100000002433697100
terminal,1,298,0.2809,0,0,0.361474,100000001072022100;100000002939838100;100000006972210100;100000005778283100;100000001463701100
terminal,2,264,0.2488,0,0,0.355766,100000002605308100;100000002443664100;100000001584286100;100000002983879100;100000002956898100
terminal,3,499,0.4703,0,0,0.349615,100000007229557100;100000002793881100;100000001875239100;100000002945626100;100000002956769100
peripheral,0,70,0.0703,70,0,0.264331,100000008637537100;100000001732159100;100000001616816100;100000008650785100;100000008314203100
peripheral,1,114,0.1145,0,0,0.500267,100000005074393100;100000008686313100;100000007442518100;100000007908818100;100000003701161100
peripheral,2,131,0.1315,0,0,0.475168,100000002741024100;100000005782781100;100000008258083100;100000008512552100;100000003390036100
peripheral,3,237,0.238,0,0,0.452105,100000004997515100;100000006734214100;100000000413678100;100000002849158100;100000006274203100
peripheral,4,444,0.4458,0,444,0.191204,100000003037476100;100000003072205100;100000004652395100;100000006638021100;100000005783452100
