cluster_id,n_nodes,n_seed,internal_kzt,cross_in_kzt,cross_out_kzt,cross_net_kzt,cross_in_edges,cross_out_edges,cross_in_tx,cross_out_tx,top_in_clusters,top_out_clusters
1,277,1,31227334.24,5204190.55,7063720.34,-1859529.79,73,146,94,199,6:2429742.00;4:1531406.00;7:673300.00;14:155809.00;17:106191.55,6:1743832.75;7:1619968.00;4:1163001.99;12:436600.00;17:393580.00
4,146,3,19519090.0,4055520.74,4724307.0,-668786.26,64,67,86,85,7:1286439.00;1:1163001.99;6:1039750.00;17:250506.75;12:190875.00,1:1531406.00;6:691391.00;12:590990.00;21:484000.00;7:346400.00
6,126,0,24907250.33,4011966.75,5625010.0,-1613043.25,55,46,69,61,1:1743832.75;7:793970.00;4:691391.00;17:226780.00;12:220000.00,1:2429742.00;4:1039750.00;12:600000.00;17:371570.00;40:280000.00
7,106,0,11794744.0,2408143.0,4243296.0,-1835153.0,45,58,66,72,1:1619968.00;4:346400.00;6:265165.00;14:80488.00;17:59000.00,4:1286439.00;6:793970.00;1:673300.00;21:487167.00;3:281997.00
12,54,1,6244622.0,2191959.0,719155.0,1472804.0,32,12,46,13,6:600000.00;4:590990.00;1:436600.00;7:119800.00;5:109112.00,6:220000.00;4:190875.00;3:93555.00;11:80000.00;13:41050.00
3,158,1,32434270.59,2131453.0,3520161.0,-1388708.0,36,39,36,40,10:604000.00;22:305780.00;7:281997.00;9:190000.00;8:177200.00,22:883983.00;10:876680.00;11:795510.00;5:268000.00;9:244500.00
10,60,0,15020787.0,1802545.0,1151800.0,650745.0,23,12,23,13,3:876680.00;22:287000.00;11:230000.00;31:99999.00;9:90000.00,3:604000.00;5:290000.00;9:119300.00;12:50000.00;22:41000.00
11,56,1,10014014.02,1419405.0,1034317.4,385087.6,17,11,21,12,3:795510.00;22:146000.00;9:140000.00;1:99388.00;12:80000.00,9:363000.00;10:230000.00;3:134000.00;18:105000.00;15:100000.00
5,127,7,18414962.28,1214827.0,985115.0,229712.0,17,41,18,52,10:290000.00;3:268000.00;4:231233.00;16:205160.00;6:104000.00,16:233329.00;24:208103.00;12:109112.00;1:57350.00;14:49391.00
9,61,3,8902320.0,1167589.8,583000.0,584589.8,16,7,18,7,11:363000.00;3:244500.00;15:152873.00;10:119300.00;1:115937.80,3:190000.00;11:140000.00;10:90000.00;8:80000.00;15:53000.00
22,25,0,7556605.0,1134629.0,743780.0,390849.0,16,11,17,11,3:883983.00;21:141710.00;15:52192.00;10:41000.00;1:15744.00,3:305780.00;10:287000.00;11:146000.00;49:5000.00
21,25,0,5089597.0,1109352.0,505240.0,604112.0,6,6,6,6,7:487167.00;4:484000.00;1:108185.00;6:30000.00,6:200000.00;22:141710.00;3:109020.00;10:54510.00
17,41,0,5151924.19,919297.0,661478.3,257818.7,13,18,19,22,1:393580.00;6:371570.00;4:81147.00;7:73000.00,4:250506.75;6:226780.00;1:106191.55;7:59000.00;59:19000.00
14,52,5,4171441.0,813305.0,354797.0,458508.0,23,13,26,13,4:319293.00;6:172828.00;1:158913.00;7:82880.00;5:49391.00,1:155809.00;7:80488.00;15:30000.00;3:28000.00;4:25000.00
18,30,1,6513430.0,436127.0,147115.0,289012.0,11,7,11,8,1:207853.00;11:105000.00;4:54000.00;6:41200.00;20:22060.00,1:52985.00;6:51558.00;16:21000.00;5:15000.00;7:6572.00
31,13,0,6748650.0,395000.0,99999.0,295001.0,4,1,5,1,1:255000.00;7:134000.00;5:6000.00,10:99999.00
8,61,0,4350466.67,311847.0,468290.0,-156443.0,8,14,9,16,3:100000.00;9:80000.00;11:60000.00;15:53157.00;5:7700.00,3:177200.00;12:102000.00;9:72000.00;15:39000.00;14:30000.00
24,18,0,3422800.0,302009.0,51400.0,250609.0,3,1,3,1,5:208103.00;1:93906.00,1:51400.00
40,7,0,3077000.0,280000.0,0.0,280000.0,1,0,1,0,6:280000.00,
13,53,1,2993313.0,275843.4,138771.0,137072.4,9,6,9,6,7:99838.00;5:46800.00;12:41050.00;4:36050.00;1:33505.00,11:50900.00;3:43971.00;1:17000.00;25:17000.00;10:9900.00
41,7,3,4442461.0,255338.0,13000.0,242338.0,4,1,4,1,3:154700.00;1:100638.00,1:13000.00
16,41,3,4888834.28,254329.0,315760.0,-61431.0,8,11,13,13,5:233329.00;18:21000.00,5:205160.00;12:59600.00;10:19000.00;20:17000.00;59:15000.00
15,44,0,10215968.84,243701.0,527149.0,-283448.0,7,12,7,12,11:100000.00;9:53000.00;8:39000.00;14:30000.00;12:10955.00,9:152873.00;3:79900.00;10:59407.00;58:56520.00;8:53157.00
48,6,0,2534500.0,237068.0,0.0,237068.0,5,0,8,0,1:157781.00;4:60287.00;7:19000.00,
20,26,14,2289450.0,203680.0,101495.0,102185.0,8,3,9,4,15:48100.00;1:47187.00;5:37000.00;3:23693.00;14:20500.00,6:59435.00;18:22060.00;12:20000.00
72,2,0,857500.0,180000.0,0.0,180000.0,2,0,3,0,6:110000.00;4:70000.00,
37,8,0,2473417.91,100000.0,0.0,100000.0,1,0,1,0,6:100000.00,
33,10,0,322010.0,90265.0,12920.0,77345.0,3,1,3,1,6:47265.00;4:43000.00,9:12920.00
32,11,0,3784703.0,68702.8,0.0,68702.8,3,0,3,0,1:68702.80,
59,4,0,832800.0,64000.0,0.0,64000.0,4,0,7,0,1:20000.00;17:19000.00;16:15000.00;5:10000.00,
58,4,0,1595700.0,56520.0,0.0,56520.0,1,0,1,0,15:56520.00,
49,6,0,720900.0,55000.0,0.0,55000.0,3,0,3,0,10:30000.00;3:20000.00;22:5000.00,
36,9,0,1406982.0,52900.0,0.0,52900.0,1,0,1,0,1:52900.00,
67,3,0,627870.0,50000.0,0.0,50000.0,1,0,1,0,4:50000.00,
35,10,0,1727065.0,46250.0,8000.0,38250.0,1,1,1,1,1:46250.00,29:8000.00
55,4,0,460000.0,38818.0,0.0,38818.0,2,0,2,0,5:38818.00,
29,14,0,1605604.0,31000.0,0.0,31000.0,2,0,2,0,5:23000.00;35:8000.00,
34,10,0,603900.0,25000.0,0.0,25000.0,1,0,1,0,12:25000.00,
63,3,0,553830.0,24000.0,0.0,24000.0,1,0,1,0,5:24000.00,
19,29,0,446070.0,23900.0,30500.0,-6600.0,2,3,2,3,10:17500.00;5:6400.00,12:15000.00;3:10000.00;8:5500.00
38,8,0,389000.0,23000.0,0.0,23000.0,1,0,1,0,4:23000.00,
71,2,0,584900.0,20000.0,20000.0,0.0,1,1,1,1,5:20000.00,5:20000.00
65,3,0,1557988.0,19000.0,0.0,19000.0,1,0,1,0,5:19000.00,
56,4,0,518000.0,17100.0,0.0,17100.0,2,0,2,0,5:10000.00;4:7100.00,
43,7,0,1268308.0,17000.0,25000.0,-8000.0,2,1,2,1,4:10000.00;1:7000.00,6:25000.00
25,17,1,21586840.0,17000.0,0.0,17000.0,1,0,1,0,13:17000.00,
23,20,0,617900.0,16800.0,0.0,16800.0,3,0,3,0,5:10000.00;1:6800.00,
