route_id,kind,hop,src,dst,src_role,dst_role,src_cluster,dst_cluster,sum_kzt,n_tx,path
1,repeated,1,100000008314203100,100000008637537100,peripheral,peripheral,41,41,232000.0,11,100000008314203100 → 100000008637537100 → 100000001732159100
1,repeated,2,100000008637537100,100000001732159100,peripheral,peripheral,41,41,2283100.0,28,100000008314203100 → 100000008637537100 → 100000001732159100
2,repeated,1,100000004400305100,100000007594394100,distributor,consolidator,1,18,130000.0,1,100000004400305100 → 100000007594394100 → 100000006274203100
2,repeated,2,100000007594394100,100000006274203100,consolidator,peripheral,18,18,3376312.0,40,100000004400305100 → 100000007594394100 → 100000006274203100
3,repeated,1,100000006579678100,100000003016635100,peripheral,distributor,5,5,81600.0,1,100000006579678100 → 100000003016635100 → 100000004559194100
3,repeated,2,100000003016635100,100000004559194100,distributor,terminal,5,5,282145.0,6,100000006579678100 → 100000003016635100 → 100000004559194100
4,repeated,1,100000002267998100,100000003701161100,peripheral,peripheral,24,24,850000.0,8,100000002267998100 → 100000003701161100 → 100000003718221100
4,repeated,2,100000003701161100,100000003718221100,peripheral,peripheral,24,24,120000.0,3,100000002267998100 → 100000003701161100 → 100000003718221100
5,repeated,1,100000006866783100,100000008686313100,distributor,peripheral,1,1,225181.0,4,100000006866783100 → 100000008686313100 → 100000002826669100
5,repeated,2,100000008686313100,100000002826669100,peripheral,terminal,1,1,159900.0,4,100000006866783100 → 100000008686313100 → 100000002826669100
6,repeated,1,100000005048668100,100000008603629100,distributor,coordinator,7,7,65000.0,2,100000005048668100 → 100000008603629100 → 100000005830339100
6,repeated,2,100000008603629100,100000005830339100,coordinator,consolidator,7,4,144605.0,5,100000005048668100 → 100000008603629100 → 100000005830339100
7,repeated,1,100000005287097100,100000003016635100,distributor,distributor,5,5,392500.0,25,100000005287097100 → 100000003016635100 → 100000000440392100
7,repeated,2,100000003016635100,100000000440392100,distributor,terminal,5,5,105705.0,4,100000005287097100 → 100000003016635100 → 100000000440392100
8,repeated,1,100000005287097100,100000003016635100,distributor,distributor,5,5,392500.0,25,100000005287097100 → 100000003016635100 → 100000000667713100
8,repeated,2,100000003016635100,100000000667713100,distributor,peripheral,5,5,106745.0,9,100000005287097100 → 100000003016635100 → 100000000667713100
9,repeated,1,100000008571433100,100000004135268100,peripheral,transit,53,53,1064000.0,2,100000008571433100 → 100000004135268100 → 100000004979498100
9,repeated,2,100000004135268100,100000004979498100,transit,peripheral,53,53,700000.0,2,100000008571433100 → 100000004135268100 → 100000004979498100
10,repeated,1,100000003835149100,100000002224132100,peripheral,peripheral,25,25,2900720.0,6,100000003835149100 → 100000002224132100 → 100000000594783100
10,repeated,2,100000002224132100,100000000594783100,peripheral,peripheral,25,25,2635000.0,10,100000003835149100 → 100000002224132100 → 100000000594783100
11,repeated,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000008603629100
11,repeated,2,100000003880331100,100000008603629100,distributor,coordinator,7,7,598000.0,6,100000001857829100 → 100000003880331100 → 100000008603629100
12,repeated,1,100000003718221100,100000002267998100,peripheral,peripheral,24,24,200000.0,1,100000003718221100 → 100000002267998100 → 100000003701161100
12,repeated,2,100000002267998100,100000003701161100,peripheral,peripheral,24,24,850000.0,8,100000003718221100 → 100000002267998100 → 100000003701161100
13,repeated,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000003684369100
13,repeated,2,100000003880331100,100000003684369100,distributor,distributor,7,4,402000.0,4,100000001857829100 → 100000003880331100 → 100000003684369100
14,repeated,1,100000000331309100,100000004906181100,coordinator,peripheral,6,37,100000.0,1,100000000331309100 → 100000004906181100 → 100000008175078100
14,repeated,2,100000004906181100,100000008175078100,peripheral,peripheral,37,37,1846711.0,15,100000000331309100 → 100000004906181100 → 100000008175078100
15,repeated,1,100000005782781100,100000007594394100,peripheral,consolidator,11,18,105000.0,1,100000005782781100 → 100000007594394100 → 100000006274203100
15,repeated,2,100000007594394100,100000006274203100,consolidator,peripheral,18,18,3376312.0,40,100000005782781100 → 100000007594394100 → 100000006274203100
16,repeated,1,100000008517538100,100000008710791100,distributor,distributor,3,3,115000.0,1,100000008517538100 → 100000008710791100 → 100000008561016100
16,repeated,2,100000008710791100,100000008561016100,distributor,transit,3,3,180000.0,2,100000008517538100 → 100000008710791100 → 100000008561016100
17,repeated,1,100000006866783100,100000007055802100,distributor,consolidator,1,1,200000.0,3,100000006866783100 → 100000007055802100 → 100000004299488100
17,repeated,2,100000007055802100,100000004299488100,consolidator,consolidator,1,1,605000.0,7,100000006866783100 → 100000007055802100 → 100000004299488100
18,repeated,1,100000008710791100,100000008561016100,distributor,transit,3,3,180000.0,2,100000008710791100 → 100000008561016100 → 100000001724740100
18,repeated,2,100000008561016100,100000001724740100,transit,peripheral,3,3,185000.0,4,100000008710791100 → 100000008561016100 → 100000001724740100
19,repeated,1,100000003016635100,100000004707703100,distributor,transit,5,5,232300.0,2,100000003016635100 → 100000004707703100 → 100000002335358100
19,repeated,2,100000004707703100,100000002335358100,transit,terminal,5,5,140000.0,2,100000003016635100 → 100000004707703100 → 100000002335358100
20,repeated,1,100000008165763100,100000007594394100,transit,consolidator,4,18,40000.0,1,100000008165763100 → 100000007594394100 → 100000006274203100
20,repeated,2,100000007594394100,100000006274203100,consolidator,peripheral,18,18,3376312.0,40,100000008165763100 → 100000007594394100 → 100000006274203100
21,repeated,1,100000004351795100,100000000437046100,coordinator,coordinator,1,1,542000.0,9,100000004351795100 → 100000000437046100 → 100000003834495100
21,repeated,2,100000000437046100,100000003834495100,coordinator,peripheral,1,1,327441.0,3,100000004351795100 → 100000000437046100 → 100000003834495100
22,repeated,1,100000003016635100,100000006518161100,distributor,transit,5,5,521200.0,8,100000003016635100 → 100000006518161100 → 100000005660203100
22,repeated,2,100000006518161100,100000005660203100,transit,peripheral,5,5,572899.0,12,100000003016635100 → 100000006518161100 → 100000005660203100
23,repeated,1,100000003242289100,100000008304139100,coordinator,distributor,17,4,93570.0,1,100000003242289100 → 100000008304139100 → 100000003684369100
23,repeated,2,100000008304139100,100000003684369100,distributor,distributor,4,4,454000.0,10,100000003242289100 → 100000008304139100 → 100000003684369100
24,repeated,1,100000004390333100,100000000437046100,distributor,coordinator,1,1,100000.0,2,100000004390333100 → 100000000437046100 → 100000007055802100
24,repeated,2,100000000437046100,100000007055802100,coordinator,consolidator,1,1,1015000.0,16,100000004390333100 → 100000000437046100 → 100000007055802100
25,repeated,1,100000008086440100,100000000437046100,transit,coordinator,1,1,41500.0,1,100000008086440100 → 100000000437046100 → 100000007055802100
25,repeated,2,100000000437046100,100000007055802100,coordinator,consolidator,1,1,1015000.0,16,100000008086440100 → 100000000437046100 → 100000007055802100
26,repeated,1,100000005287097100,100000003016635100,distributor,distributor,5,5,392500.0,25,100000005287097100 → 100000003016635100 → 100000004948177100
26,repeated,2,100000003016635100,100000004948177100,distributor,terminal,5,5,341163.0,6,100000005287097100 → 100000003016635100 → 100000004948177100
27,repeated,1,100000004390333100,100000006866783100,distributor,distributor,1,1,60000.0,1,100000004390333100 → 100000006866783100 → 100000007055802100
27,repeated,2,100000006866783100,100000007055802100,distributor,consolidator,1,1,200000.0,3,100000004390333100 → 100000006866783100 → 100000007055802100
28,repeated,1,100000006866783100,100000004299488100,distributor,consolidator,1,1,337000.0,5,100000006866783100 → 100000004299488100 → 100000007055802100
28,repeated,2,100000004299488100,100000007055802100,consolidator,consolidator,1,1,204999.0,9,100000006866783100 → 100000004299488100 → 100000007055802100
29,repeated,1,100000005910114100,100000007629096100,coordinator,consolidator,1,1,97170.0,2,100000005910114100 → 100000007629096100 → 100000002741024100
29,repeated,2,100000007629096100,100000002741024100,consolidator,peripheral,1,1,765205.0,5,100000005910114100 → 100000007629096100 → 100000002741024100
30,repeated,1,100000001857829100,100000008121806100,coordinator,peripheral,7,7,67000.0,1,100000001857829100 → 100000008121806100 → 100000005360814100
30,repeated,2,100000008121806100,100000005360814100,peripheral,peripheral,7,7,144000.0,3,100000001857829100 → 100000008121806100 → 100000005360814100
31,repeated,1,100000005287097100,100000003016635100,distributor,distributor,5,5,392500.0,25,100000005287097100 → 100000003016635100 → 100000006518161100
31,repeated,2,100000003016635100,100000006518161100,distributor,transit,5,5,521200.0,8,100000005287097100 → 100000003016635100 → 100000006518161100
32,repeated,1,100000004351795100,100000000437046100,coordinator,coordinator,1,1,542000.0,9,100000004351795100 → 100000000437046100 → 100000007055802100
32,repeated,2,100000000437046100,100000007055802100,coordinator,consolidator,1,1,1015000.0,16,100000004351795100 → 100000000437046100 → 100000007055802100
33,repeated,1,100000001857829100,100000008603629100,coordinator,coordinator,7,7,26000.0,1,100000001857829100 → 100000008603629100 → 100000005830339100
33,repeated,2,100000008603629100,100000005830339100,coordinator,consolidator,7,4,144605.0,5,100000001857829100 → 100000008603629100 → 100000005830339100
34,repeated,1,100000008686313100,100000008603629100,peripheral,coordinator,1,7,55500.0,2,100000008686313100 → 100000008603629100 → 100000005830339100
34,repeated,2,100000008603629100,100000005830339100,coordinator,consolidator,7,4,144605.0,5,100000008686313100 → 100000008603629100 → 100000005830339100
35,repeated,1,100000004156082100,100000005339662100,coordinator,peripheral,16,16,25164.0,1,100000004156082100 → 100000005339662100 → 100000004820260100
35,repeated,2,100000005339662100,100000004820260100,peripheral,transit,16,16,234200.0,12,100000004156082100 → 100000005339662100 → 100000004820260100
36,repeated,1,100000005910114100,100000006866783100,coordinator,distributor,1,1,241712.0,8,100000005910114100 → 100000006866783100 → 100000004071080100
36,repeated,2,100000006866783100,100000004071080100,distributor,consolidator,1,1,67000.0,4,100000005910114100 → 100000006866783100 → 100000004071080100
37,repeated,1,100000008637537100,100000001732159100,peripheral,peripheral,41,41,2283100.0,28,100000008637537100 → 100000001732159100 → 100000008314203100
37,repeated,2,100000001732159100,100000008314203100,peripheral,peripheral,41,41,322076.0,9,100000008637537100 → 100000001732159100 → 100000008314203100
38,repeated,1,100000008086440100,100000008603629100,transit,coordinator,1,7,63900.0,2,100000008086440100 → 100000008603629100 → 100000005830339100
38,repeated,2,100000008603629100,100000005830339100,coordinator,consolidator,7,4,144605.0,5,100000008086440100 → 100000008603629100 → 100000005830339100
39,repeated,1,100000000437046100,100000008757369100,coordinator,peripheral,1,1,25961.0,1,100000000437046100 → 100000008757369100 → 100000008757301100
39,repeated,2,100000008757369100,100000008757301100,peripheral,peripheral,1,1,58398.0,3,100000000437046100 → 100000008757369100 → 100000008757301100
40,repeated,1,100000008636603100,100000003016635100,peripheral,distributor,5,5,43200.0,2,100000008636603100 → 100000003016635100 → 100000000440392100
40,repeated,2,100000003016635100,100000000440392100,distributor,terminal,5,5,105705.0,4,100000008636603100 → 100000003016635100 → 100000000440392100
41,repeated,1,100000005287097100,100000003016635100,distributor,distributor,5,5,392500.0,25,100000005287097100 → 100000003016635100 → 100000008188026100
41,repeated,2,100000003016635100,100000008188026100,distributor,peripheral,5,16,63358.0,4,100000005287097100 → 100000003016635100 → 100000008188026100
42,repeated,1,100000008603629100,100000004847758100,coordinator,distributor,7,4,25612.0,1,100000008603629100 → 100000004847758100 → 100000003684369100
42,repeated,2,100000004847758100,100000003684369100,distributor,distributor,4,4,56000.0,3,100000008603629100 → 100000004847758100 → 100000003684369100
43,repeated,1,100000001732159100,100000008314203100,peripheral,peripheral,41,41,322076.0,9,100000001732159100 → 100000008314203100 → 100000008637537100
43,repeated,2,100000008314203100,100000008637537100,peripheral,peripheral,41,41,232000.0,11,100000001732159100 → 100000008314203100 → 100000008637537100
44,repeated,1,100000004400305100,100000004070318100,distributor,distributor,1,1,23000.0,1,100000004400305100 → 100000004070318100 → 100000003747133100
44,repeated,2,100000004070318100,100000003747133100,distributor,consolidator,1,48,62964.0,3,100000004400305100 → 100000004070318100 → 100000003747133100
45,repeated,1,100000005287097100,100000003016635100,distributor,distributor,5,5,392500.0,25,100000005287097100 → 100000003016635100 → 100000004394765100
45,repeated,2,100000003016635100,100000004394765100,distributor,peripheral,5,5,451888.0,8,100000005287097100 → 100000003016635100 → 100000004394765100
46,repeated,1,100000008304139100,100000006866783100,distributor,distributor,4,1,144000.0,6,100000008304139100 → 100000006866783100 → 100000000961900100
46,repeated,2,100000006866783100,100000000961900100,distributor,terminal,1,1,27000.0,2,100000008304139100 → 100000006866783100 → 100000000961900100
47,repeated,1,100000001660397100,100000006866783100,transit,distributor,1,1,24000.0,2,100000001660397100 → 100000006866783100 → 100000008686313100
47,repeated,2,100000006866783100,100000008686313100,distributor,peripheral,1,1,225181.0,4,100000001660397100 → 100000006866783100 → 100000008686313100
48,repeated,1,100000008304139100,100000006866783100,distributor,distributor,4,1,144000.0,6,100000008304139100 → 100000006866783100 → 100000008686313100
48,repeated,2,100000006866783100,100000008686313100,distributor,peripheral,1,1,225181.0,4,100000008304139100 → 100000006866783100 → 100000008686313100
49,repeated,1,100000004400305100,100000007593823100,distributor,coordinator,1,1,10000.0,1,100000004400305100 → 100000007593823100 → 100000008730846100
49,repeated,2,100000007593823100,100000008730846100,coordinator,consolidator,1,12,38000.0,3,100000004400305100 → 100000007593823100 → 100000008730846100
50,repeated,1,100000004269433100,100000008418835100,peripheral,peripheral,16,16,1372000.0,67,100000004269433100 → 100000008418835100 → 100000008730021100
50,repeated,2,100000008418835100,100000008730021100,peripheral,terminal,16,16,75555.0,3,100000004269433100 → 100000008418835100 → 100000008730021100
51,repeated,1,100000005268319100,100000002957787100,peripheral,coordinator,1,1,24000.0,3,100000005268319100 → 100000002957787100 → 100000004071080100
51,repeated,2,100000002957787100,100000004071080100,coordinator,consolidator,1,1,15000.0,2,100000005268319100 → 100000002957787100 → 100000004071080100
52,repeated,1,100000001609499100,100000002398779100,peripheral,consolidator,1,1,10000.0,1,100000001609499100 → 100000002398779100 → 100000008576243100
52,repeated,2,100000002398779100,100000008576243100,consolidator,terminal,1,1,66000.0,3,100000001609499100 → 100000002398779100 → 100000008576243100
53,repeated,1,100000004351795100,100000002398779100,coordinator,consolidator,1,1,87100.0,5,100000004351795100 → 100000002398779100 → 100000008576243100
53,repeated,2,100000002398779100,100000008576243100,consolidator,terminal,1,1,66000.0,3,100000004351795100 → 100000002398779100 → 100000008576243100
54,repeated,1,100000004017410100,100000003934614100,peripheral,peripheral,35,35,10000.0,1,100000004017410100 → 100000003934614100 → 100000004336312100
54,repeated,2,100000003934614100,100000004336312100,peripheral,transit,35,35,11500.0,2,100000004017410100 → 100000003934614100 → 100000004336312100
55,chain,1,100000008517538100,100000008710791100,distributor,distributor,3,3,115000.0,1,100000008517538100 → 100000008710791100 → 100000008561016100 → 100000001724740100
55,chain,2,100000008710791100,100000008561016100,distributor,transit,3,3,180000.0,2,100000008517538100 → 100000008710791100 → 100000008561016100 → 100000001724740100
55,chain,3,100000008561016100,100000001724740100,transit,peripheral,3,3,185000.0,4,100000008517538100 → 100000008710791100 → 100000008561016100 → 100000001724740100
56,chain,1,100000008304139100,100000000437046100,distributor,coordinator,4,1,30000.0,1,100000008304139100 → 100000000437046100 → 100000008757369100 → 100000008757301100
56,chain,2,100000000437046100,100000008757369100,coordinator,peripheral,1,1,25961.0,1,100000008304139100 → 100000000437046100 → 100000008757369100 → 100000008757301100
56,chain,3,100000008757369100,100000008757301100,peripheral,peripheral,1,1,58398.0,3,100000008304139100 → 100000000437046100 → 100000008757369100 → 100000008757301100
57,chain,1,100000005048668100,100000008603629100,distributor,coordinator,7,7,65000.0,2,100000005048668100 → 100000008603629100 → 100000004847758100 → 100000003684369100
57,chain,2,100000008603629100,100000004847758100,coordinator,distributor,7,4,25612.0,1,100000005048668100 → 100000008603629100 → 100000004847758100 → 100000003684369100
57,chain,3,100000004847758100,100000003684369100,distributor,distributor,4,4,56000.0,3,100000005048668100 → 100000008603629100 → 100000004847758100 → 100000003684369100
