date,n_tx,sum_kzt,unique_senders,unique_recipients,active_nodes
2026-07-01,115,7179460.96,75,100,167
2026-07-02,131,9362005.52,82,112,178
2026-07-03,181,12619867.75,90,156,226
2026-07-04,110,5949727.0,65,85,134
2026-07-05,127,7709833.68,74,106,166
2026-07-06,124,5313603.0,78,111,176
2026-07-07,150,9882395.0,86,126,189
2026-07-08,190,16175686.59,99,156,227
2026-07-09,156,10483391.0,79,124,180
2026-07-10,169,12024789.0,93,138,211
2026-07-11,140,9641088.85,80,105,172
2026-07-12,146,7683834.27,82,101,163
2026-07-13,182,14932615.0,94,139,211
2026-07-14,209,12248290.0,105,154,231
2026-07-15,157,11966562.53,82,129,191
2026-07-16,224,23732052.0,105,170,241
2026-07-17,133,11910171.0,81,104,169
2026-07-18,179,11189794.0,100,133,208
2026-07-19,169,11347544.0,93,131,195
2026-07-20,183,17127994.0,99,156,234
2026-07-21,168,15802115.75,97,139,213
2026-07-22,156,11975523.0,85,133,200
2026-07-23,190,13163751.62,97,149,213
2026-07-24,148,12535096.53,91,121,201
2026-07-25,111,7558228.0,73,89,148
2026-07-26,133,10041300.0,78,103,164
2026-07-27,153,10454396.02,91,132,202
2026-07-28,153,11139504.09,86,126,194
2026-07-29,146,12676800.92,72,114,175
2026-07-30,152,14320911.93,84,125,186
2026-07-31,155,17741679.0,90,125,198
