rank,gid,role,priority_score,why,attention
1,100000008603629100,coordinator,0.981072,"Гипотеза координации: достижим из 4 seed, 19 плательщиков, мост 0.0018. Приоритет: 19 плательщиков, 1,817,300 KZT входа, 61 получателей, достижим из 4 seed, мост 0.0018; итог 0.981.",возвратный поток с seed (73 цикл.); 4 плательщиков в один день; повтор одной суммы ×4; плательщиков больше 99% узлов колена 2
2,100000000437046100,coordinator,0.977091,"Гипотеза координации: достижим из 4 seed, 9 плательщиков, мост 0.0008. Приоритет: 9 плательщиков, 1,107,200 KZT входа, 42 получателей, достижим из 4 seed, мост 0.0008; итог 0.977.",возвратный поток с seed (42 цикл.); 3 плательщиков в один день; повтор одной суммы ×5
3,100000000331309100,coordinator,0.973932,"Гипотеза координации: достижим из 4 seed, 5 плательщиков, мост 0.0014. Приоритет: 5 плательщиков, 984,635 KZT входа, 99 получателей, достижим из 4 seed, мост 0.0014; итог 0.974.",возвратный поток с seed (2 цикл.); 3 плательщиков в один день; повтор одной суммы ×7
4,100000008346837100,coordinator,0.961321,"Гипотеза координации: достижим из 6 seed, 9 плательщиков, мост 0.0063. Приоритет: 9 плательщиков, 254,359 KZT входа, 25 получателей, достижим из 6 seed, мост 0.0063; итог 0.961.",возвратный поток с seed (7 цикл.); 4 плательщиков в один день
5,100000003115284100,consolidator,0.958669,"Признаки консолидации: 8 плательщиков, 2 получателей, входящий поток 2,160,500 KZT. Приоритет: 8 плательщиков, 2,160,500 KZT входа, 2 получателей, достижим из 9 seed, мост 0.0000; итог 0.959.",возвратный поток (2 цикл.); 7 плательщиков в один день; плательщиков больше 99% узлов колена 1
6,100000001530983100,distributor,0.955138,"Признаки распределения: 11 получателей против 4 плательщиков, исходящий поток 1,829,538 KZT. Приоритет: 4 плательщиков, 564,158 KZT входа, 11 получателей, достижим из 5 seed, мост 0.0002; итог 0.955.",нет
7,100000004156082100,coordinator,0.953815,"Гипотеза координации: достижим из 4 seed, 5 плательщиков, мост 0.0002. Приоритет: 5 плательщиков, 377,366 KZT входа, 26 получателей, достижим из 4 seed, мост 0.0002; итог 0.954.",возвратный поток с seed (6 цикл.)
8,100000008477350100,coordinator,0.949978,"Гипотеза координации: достижим из 3 seed, 11 плательщиков, мост 0.0006. Приоритет: 11 плательщиков, 610,100 KZT входа, 39 получателей, достижим из 3 seed, мост 0.0006; итог 0.950.",возвратный поток с seed (34 цикл.); плательщиков больше 99% узлов колена 2
9,100000001857829100,coordinator,0.945212,"Гипотеза координации: достижим из 3 seed, 6 плательщиков, мост 0.0009. Приоритет: 6 плательщиков, 888,535 KZT входа, 16 получателей, достижим из 3 seed, мост 0.0009; итог 0.945.",возвратный поток (6 цикл.); 3 плательщиков в один день
10,100000005910114100,coordinator,0.943216,"Гипотеза координации: достижим из 4 seed, 3 плательщиков, мост 0.0035. Приоритет: 3 плательщиков, 326,144 KZT входа, 19 получателей, достижим из 4 seed, мост 0.0035; итог 0.943.",возвратный поток с seed (18 цикл.); повтор одной суммы ×5
11,100000008733194100,distributor,0.933786,"Признаки распределения: 8 получателей против 4 плательщиков, исходящий поток 159,695 KZT. Приоритет: 4 плательщиков, 251,424 KZT входа, 8 получателей, достижим из 4 seed, мост 0.0001; итог 0.934.",возвратный поток (1 цикл.)
12,100000003242289100,coordinator,0.933085,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0003. Приоритет: 3 плательщиков, 550,791 KZT входа, 23 получателей, достижим из 3 seed, мост 0.0003; итог 0.933.",возвратный поток с seed (8 цикл.)
13,100000008165763100,transit,0.926856,"Признаки транзита: отдал 109% видимого входа; 15→17 связей, быстрый выход 81%. Приоритет: 15 плательщиков, 1,165,815 KZT входа, 17 получателей, достижим из 6 seed, мост 0.0001; итог 0.927.",4 плательщиков в один день; плательщиков больше 99% узлов колена 1
14,100000006889963100,consolidator,0.921931,"Признаки консолидации: 4 плательщиков, 1 получателей, входящий поток 1,431,000 KZT. Приоритет: 4 плательщиков, 1,431,000 KZT входа, 1 получателей, достижим из 9 seed, мост 0.0000; итог 0.922.",4 плательщиков в один день
15,100000008731444100,distributor,0.917438,"Признаки распределения: 9 получателей против 3 плательщиков, исходящий поток 879,768 KZT. Приоритет: 3 плательщиков, 439,000 KZT входа, 9 получателей, достижим из 3 seed, мост 0.0001; итог 0.917.",нет
16,100000008547948100,coordinator,0.917382,"Гипотеза координации: достижим из 3 seed, 6 плательщиков, мост 0.0004. Приоритет: 6 плательщиков, 212,665 KZT входа, 26 получателей, достижим из 3 seed, мост 0.0004; итог 0.917.",возвратный поток (5 цикл.); 4 плательщиков в один день
17,100000005933757100,distributor,0.916515,"Признаки распределения: 34 получателей против 4 плательщиков, исходящий поток 3,002,628 KZT. Приоритет: 4 плательщиков, 1,246,000 KZT входа, 34 получателей, достижим из 2 seed, мост 0.0014; итог 0.917.",возвратный поток (3 цикл.); повтор одной суммы ×8
18,100000008489922100,coordinator,0.913812,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0003. Приоритет: 3 плательщиков, 262,010 KZT входа, 36 получателей, достижим из 3 seed, мост 0.0003; итог 0.914.",возвратный поток (2 цикл.); повтор одной суммы ×5
19,100000002398779100,consolidator,0.912189,"Признаки консолидации: 13 плательщиков, 1 получателей, входящий поток 1,095,690 KZT. Приоритет: 13 плательщиков, 1,095,690 KZT входа, 1 получателей, достижим из 5 seed, мост 0.0000; итог 0.912.",7 плательщиков в один день; плательщиков больше 99% узлов колена 2
20,100000008710791100,distributor,0.910769,"Признаки распределения: 23 получателей против 3 плательщиков, исходящий поток 5,521,511 KZT. Приоритет: 3 плательщиков, 181,510 KZT входа, 23 получателей, достижим из 5 seed, мост 0.0001; итог 0.911.",нет
21,100000005527892100,coordinator,0.909201,"Гипотеза координации: достижим из 4 seed, 3 плательщиков, мост 0.0003. Приоритет: 3 плательщиков, 220,001 KZT входа, 8 получателей, достижим из 4 seed, мост 0.0003; итог 0.909.",нет
22,100000008730846100,consolidator,0.908719,"Признаки консолидации: 7 плательщиков, 3 получателей, входящий поток 155,042 KZT. Приоритет: 7 плательщиков, 155,042 KZT входа, 3 получателей, достижим из 4 seed, мост 0.0001; итог 0.909.",4 плательщиков в один день
23,100000008743913100,distributor,0.904274,"Признаки распределения: 13 получателей против 3 плательщиков, исходящий поток 1,850,600 KZT. Приоритет: 3 плательщиков, 149,300 KZT входа, 13 получателей, достижим из 6 seed, мост 0.0001; итог 0.904.",нет
24,100000007594394100,consolidator,0.901557,"Признаки консолидации: 6 плательщиков, 1 получателей, входящий поток 395,385 KZT. Приоритет: 6 плательщиков, 395,385 KZT входа, 1 получателей, достижим из 4 seed, мост 0.0000; итог 0.902.",возвратный поток (1 цикл.); повтор одной суммы ×4
25,100000004015047100,consolidator,0.901369,"Признаки консолидации: 9 плательщиков, 1 получателей, входящий поток 919,104 KZT. Приоритет: 9 плательщиков, 919,104 KZT входа, 1 получателей, достижим из 8 seed, мост 0.0000; итог 0.901.",возвратный поток с seed (1 цикл.); плательщиков больше 99% узлов колена 1
26,100000004299488100,consolidator,0.900693,"Признаки консолидации: 6 плательщиков, 2 получателей, входящий поток 1,749,000 KZT. Приоритет: 6 плательщиков, 1,749,000 KZT входа, 2 получателей, достижим из 3 seed, мост 0.0000; итог 0.901.",возвратный поток (1 цикл.); 3 плательщиков в один день; повтор одной суммы ×4
27,100000002957787100,coordinator,0.900323,"Гипотеза координации: достижим из 4 seed, 4 плательщиков, мост 0.0026. Приоритет: 4 плательщиков, 84,956 KZT входа, 34 получателей, достижим из 4 seed, мост 0.0026; итог 0.900.",возвратный поток с seed (6 цикл.); 5 входов у порога 5–10 тыс.
28,100000008547844100,coordinator,0.89891,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0004. Приоритет: 3 плательщиков, 177,600 KZT входа, 19 получателей, достижим из 3 seed, мост 0.0004; итог 0.899.",возвратный поток (4 цикл.)
29,100000004403675100,coordinator,0.88929,"Гипотеза координации: достижим из 3 seed, 4 плательщиков, мост 0.0012. Приоритет: 4 плательщиков, 182,980 KZT входа, 5 получателей, достижим из 3 seed, мост 0.0012; итог 0.889.",возвратный поток с seed (2 цикл.)
30,100000008512827100,distributor,0.888816,"Признаки распределения: 10 получателей против 3 плательщиков, исходящий поток 1,944,500 KZT. Приоритет: 3 плательщиков, 107,949 KZT входа, 10 получателей, достижим из 5 seed, мост 0.0001; итог 0.889.",нет
31,100000004400305100,distributor,0.886588,"Признаки распределения: 82 получателей против 7 плательщиков, исходящий поток 5,830,181 KZT. Приоритет: 7 плательщиков, 222,800 KZT входа, 82 получателей, достижим из 2 seed, мост 0.0009; итог 0.887.",возвратный поток с seed (42 цикл.); повтор одной суммы ×7
32,100000004351795100,coordinator,0.884742,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0014. Приоритет: 3 плательщиков, 118,333 KZT входа, 14 получателей, достижим из 3 seed, мост 0.0014; итог 0.885.",возвратный поток с seed (16 цикл.)
33,100000004759121100,consolidator,0.883361,"Признаки консолидации: 6 плательщиков, 2 получателей, входящий поток 710,000 KZT. Приоритет: 6 плательщиков, 710,000 KZT входа, 2 получателей, достижим из 3 seed, мост 0.0000; итог 0.883.",возвратный поток (1 цикл.)
34,100000004070318100,distributor,0.879738,"Признаки распределения: 19 получателей против 4 плательщиков, исходящий поток 551,860 KZT. Приоритет: 4 плательщиков, 207,247 KZT входа, 19 получателей, достижим из 2 seed, мост 0.0044; итог 0.880.",возвратный поток с seed (41 цикл.); повтор одной суммы ×4
35,100000008461532100,distributor,0.877291,"Признаки распределения: 8 получателей против 2 плательщиков, исходящий поток 2,530,090 KZT. Приоритет: 2 плательщиков, 565,300 KZT входа, 8 получателей, достижим из 2 seed, мост 0.0001; итог 0.877.",возвратный поток (1 цикл.)
36,100000005612411100,distributor,0.875556,"Признаки распределения: 8 получателей против 3 плательщиков, исходящий поток 506,997 KZT. Приоритет: 3 плательщиков, 115,500 KZT входа, 8 получателей, достижим из 3 seed, мост 0.0001; итог 0.876.",нет
37,100000008304139100,distributor,0.875222,"Признаки распределения: 24 получателей против 4 плательщиков, исходящий поток 1,692,997 KZT. Приоритет: 4 плательщиков, 189,330 KZT входа, 24 получателей, достижим из 2 seed, мост 0.0031; итог 0.875.",возвратный поток с seed (22 цикл.)
38,100000000661912100,consolidator,0.87446,"Признаки консолидации: 5 плательщиков, 2 получателей, входящий поток 393,036 KZT. Приоритет: 5 плательщиков, 393,036 KZT входа, 2 получателей, достижим из 2 seed, мост 0.0003; итог 0.874.",возвратный поток (1 цикл.)
39,100000005242320100,distributor,0.868728,"Признаки распределения: 21 получателей против 2 плательщиков, исходящий поток 8,936,295 KZT. Приоритет: 2 плательщиков, 365,700 KZT входа, 21 получателей, достижим из 2 seed, мост 0.0001; итог 0.869.",нет
40,100000005287097100,distributor,0.867304,"Признаки распределения: 9 получателей против 2 плательщиков, исходящий поток 697,300 KZT. Приоритет: 2 плательщиков, 127,173 KZT входа, 9 получателей, достижим из 3 seed, мост 0.0003; итог 0.867.",возвратный поток с seed (6 цикл.); повтор одной суммы ×6
41,100000003635170100,transit,0.864708,"Признаки транзита: отдал 94% видимого входа; 3→4 связей, быстрый выход 54%. Приоритет: 3 плательщиков, 268,500 KZT входа, 4 получателей, достижим из 5 seed, мост 0.0001; итог 0.865.",возвратный поток (2 цикл.)
42,100000005610717100,consolidator,0.864309,"Признаки консолидации: 4 плательщиков, 1 получателей, входящий поток 484,500 KZT. Приоритет: 4 плательщиков, 484,500 KZT входа, 1 получателей, достижим из 3 seed, мост 0.0000; итог 0.864.",нет
43,100000005514161100,consolidator,0.863835,"Признаки консолидации: 4 плательщиков, 1 получателей, входящий поток 401,500 KZT. Приоритет: 4 плательщиков, 401,500 KZT входа, 1 получателей, достижим из 6 seed, мост 0.0000; итог 0.864.",нет
44,100000006518161100,transit,0.859849,"Признаки транзита: отдал 100% видимого входа; 3→2 связей, быстрый выход 100%. Приоритет: 3 плательщиков, 594,200 KZT входа, 2 получателей, достижим из 3 seed, мост 0.0000; итог 0.860.",возвратный поток (1 цикл.)
45,100000008517538100,distributor,0.85496,"Признаки распределения: 17 получателей против 3 плательщиков, исходящий поток 1,439,000 KZT. Приоритет: 3 плательщиков, 155,500 KZT входа, 17 получателей, достижим из 2 seed, мост 0.0001; итог 0.855.",нет
46,100000003747133100,consolidator,0.854615,"Признаки консолидации: 5 плательщиков, 2 получателей, входящий поток 237,068 KZT. Приоритет: 5 плательщиков, 237,068 KZT входа, 2 получателей, достижим из 3 seed, мост 0.0000; итог 0.855.",нет
47,100000002838861100,consolidator,0.850178,"Признаки консолидации: 5 плательщиков, 1 получателей, входящий поток 554,524 KZT. Приоритет: 5 плательщиков, 554,524 KZT входа, 1 получателей, достижим из 4 seed, мост 0.0000; итог 0.850.",возвратный поток (1 цикл.)
48,100000008111003100,consolidator,0.848295,"Признаки консолидации: 6 плательщиков, 1 получателей, входящий поток 222,716 KZT. Приоритет: 6 плательщиков, 222,716 KZT входа, 1 получателей, достижим из 3 seed, мост 0.0001; итог 0.848.",возвратный поток с seed (9 цикл.)
49,100000007998965100,consolidator,0.845869,"Признаки консолидации: 5 плательщиков, 1 получателей, входящий поток 278,000 KZT. Приоритет: 5 плательщиков, 278,000 KZT входа, 1 получателей, достижим из 4 seed, мост 0.0000; итог 0.846.",нет
50,100000000332284100,consolidator,0.844988,"Признаки консолидации: 10 плательщиков, 3 получателей, входящий поток 107,426 KZT. Приоритет: 10 плательщиков, 107,426 KZT входа, 3 получателей, достижим из 3 seed, мост 0.0001; итог 0.845.",3 плательщиков в один день; 10 входов у порога 5–10 тыс.; плательщиков больше 99% узлов колена 2
51,100000003684369100,distributor,0.844489,"Признаки распределения: 62 получателей против 24 плательщиков, исходящий поток 8,588,655 KZT. Приоритет: 24 плательщиков, 3,848,436 KZT входа, 62 получателей, достижим из 7 seed, мост 0.0008; итог 0.844.",возвратный поток с seed (1 цикл.); 6 плательщиков в один день; повтор одной суммы ×6; плательщиков больше 99% узлов колена 0
52,100000005704413100,distributor,0.84395,"Признаки распределения: 32 получателей против 3 плательщиков, исходящий поток 1,363,593 KZT. Приоритет: 3 плательщиков, 97,835 KZT входа, 32 получателей, достижим из 2 seed, мост 0.0074; итог 0.844.",возвратный поток (3 цикл.)
53,100000004847758100,distributor,0.841915,"Признаки распределения: 15 получателей против 4 плательщиков, исходящий поток 488,800 KZT. Приоритет: 4 плательщиков, 115,171 KZT входа, 15 получателей, достижим из 2 seed, мост 0.0004; итог 0.842.",возвратный поток с seed (7 цикл.); повтор одной суммы ×6
54,100000008546855100,consolidator,0.84167,"Признаки консолидации: 6 плательщиков, 2 получателей, входящий поток 71,790 KZT. Приоритет: 6 плательщиков, 71,790 KZT входа, 2 получателей, достижим из 3 seed, мост 0.0000; итог 0.842.",возвратный поток (2 цикл.); 5 плательщиков в один день; 5 входов у порога 5–10 тыс.
55,100000002723538100,distributor,0.839435,"Признаки распределения: 12 получателей против 3 плательщиков, исходящий поток 560,499 KZT. Приоритет: 3 плательщиков, 105,647 KZT входа, 12 получателей, достижим из 2 seed, мост 0.0001; итог 0.839.",возвратный поток (5 цикл.)
56,100000005578559100,distributor,0.835009,"Признаки распределения: 21 получателей против 2 плательщиков, исходящий поток 893,164 KZT. Приоритет: 2 плательщиков, 131,000 KZT входа, 21 получателей, достижим из 2 seed, мост 0.0002; итог 0.835.",возвратный поток (1 цикл.)
57,100000006866783100,distributor,0.830206,"Признаки распределения: 67 получателей против 13 плательщиков, исходящий поток 3,948,037 KZT. Приоритет: 13 плательщиков, 838,812 KZT входа, 67 получателей, достижим из 4 seed, мост 0.0025; итог 0.830.",возвратный поток с seed (93 цикл.); 5 плательщиков в один день; повтор одной суммы ×9
58,100000008560717100,consolidator,0.829893,"Признаки консолидации: 7 плательщиков, 1 получателей, входящий поток 529,000 KZT. Приоритет: 7 плательщиков, 529,000 KZT входа, 1 получателей, достижим из 3 seed, мост 0.0000; итог 0.830.",плательщиков больше 99% узлов колена 1
59,100000003265158100,transit,0.829817,"Признаки транзита: отдал 106% видимого входа; 3→2 связей, быстрый выход 67%. Приоритет: 3 плательщиков, 146,100 KZT входа, 2 получателей, достижим из 4 seed, мост 0.0001; итог 0.830.",нет
60,100000003741418100,consolidator,0.828959,"Признаки консолидации: 9 плательщиков, 3 получателей, входящий поток 151,900 KZT. Приоритет: 9 плательщиков, 151,900 KZT входа, 3 получателей, достижим из 3 seed, мост 0.0000; итог 0.829.",возвратный поток (1 цикл.); 9 входов у порога 5–10 тыс.
