cycle_id,position,gid,role,cluster_id,is_seed,priority_score,bottleneck_kzt,path
1,1,100000004221668100,peripheral,9,False,0.57773,683600.0,100000004221668100 → 100000005171642100 → 100000004221668100
1,2,100000005171642100,transit,9,False,0.681338,683600.0,100000004221668100 → 100000005171642100 → 100000004221668100
2,1,100000000791285100,peripheral,28,False,0.523032,560000.0,100000000791285100 → 100000008461532100 → 100000000791285100
2,2,100000008461532100,distributor,28,False,0.877291,560000.0,100000000791285100 → 100000008461532100 → 100000000791285100
3,1,100000002963189100,peripheral,15,False,0.488851,490000.0,100000002963189100 → 100000005933757100 → 100000002963189100
3,2,100000005933757100,distributor,15,False,0.916515,490000.0,100000002963189100 → 100000005933757100 → 100000002963189100
4,1,100000001872484100,peripheral,57,False,0.42352,475400.0,100000001872484100 → 100000008601794100 → 100000001872484100
4,2,100000008601794100,peripheral,57,True,0.39675,475400.0,100000001872484100 → 100000008601794100 → 100000001872484100
5,1,100000001732159100,peripheral,41,True,0.582587,381890.0,100000001732159100 → 100000008637537100 → 100000001732159100
5,2,100000008637537100,peripheral,41,True,0.602789,381890.0,100000001732159100 → 100000008637537100 → 100000001732159100
6,1,100000002741024100,peripheral,1,False,0.685816,360000.0,100000002741024100 → 100000007629096100 → 100000002741024100
6,2,100000007629096100,consolidator,1,False,0.785863,360000.0,100000002741024100 → 100000007629096100 → 100000002741024100
7,1,100000001445848100,peripheral,36,False,0.419509,351850.0,100000001445848100 → 100000002217161100 → 100000001445848100
7,2,100000002217161100,peripheral,36,False,0.639461,351850.0,100000001445848100 → 100000002217161100 → 100000001445848100
8,1,100000007390016100,peripheral,72,False,0.483407,346500.0,100000007390016100 → 100000008324800100 → 100000007390016100
8,2,100000008324800100,transit,72,False,0.814073,346500.0,100000007390016100 → 100000008324800100 → 100000007390016100
9,1,100000000274067100,peripheral,11,False,0.491585,300000.0,100000000274067100 → 100000002958343100 → 100000000274067100
9,2,100000002958343100,peripheral,11,False,0.426971,300000.0,100000000274067100 → 100000002958343100 → 100000000274067100
10,1,100000002224132100,peripheral,25,False,0.587779,300000.0,100000002224132100 → 100000004603109100 → 100000002224132100
10,2,100000004603109100,peripheral,25,False,0.566145,300000.0,100000002224132100 → 100000004603109100 → 100000002224132100
11,1,100000004479404100,peripheral,46,False,0.5999,300000.0,100000004479404100 → 100000004717647100 → 100000004479404100
11,2,100000004717647100,peripheral,46,False,0.515033,300000.0,100000004479404100 → 100000004717647100 → 100000004479404100
12,1,100000001732159100,peripheral,41,True,0.582587,232000.0,100000001732159100 → 100000008314203100 → 100000008637537100 → 100000001732159100
12,2,100000008314203100,peripheral,41,True,0.499081,232000.0,100000001732159100 → 100000008314203100 → 100000008637537100 → 100000001732159100
12,3,100000008637537100,peripheral,41,True,0.602789,232000.0,100000001732159100 → 100000008314203100 → 100000008637537100 → 100000001732159100
13,1,100000002267998100,peripheral,24,False,0.620385,220000.0,100000002267998100 → 100000003701161100 → 100000002267998100
