cycle_id,length,path,bottleneck_kzt,n_seed
1,2,100000004221668100 → 100000005171642100 → 100000004221668100,683600.0,0
2,2,100000000791285100 → 100000008461532100 → 100000000791285100,560000.0,0
3,2,100000002963189100 → 100000005933757100 → 100000002963189100,490000.0,0
4,2,100000001872484100 → 100000008601794100 → 100000001872484100,475400.0,1
5,2,100000001732159100 → 100000008637537100 → 100000001732159100,381890.0,2
6,2,100000002741024100 → 100000007629096100 → 100000002741024100,360000.0,0
7,2,100000001445848100 → 100000002217161100 → 100000001445848100,351850.0,0
8,2,100000007390016100 → 100000008324800100 → 100000007390016100,346500.0,0
9,2,100000000274067100 → 100000002958343100 → 100000000274067100,300000.0,0
10,2,100000002224132100 → 100000004603109100 → 100000002224132100,300000.0,0
11,2,100000004479404100 → 100000004717647100 → 100000004479404100,300000.0,0
12,3,100000001732159100 → 100000008314203100 → 100000008637537100 → 100000001732159100,232000.0,3
13,2,100000002267998100 → 100000003701161100 → 100000002267998100,220000.0,0
14,2,100000004299488100 → 100000007055802100 → 100000004299488100,204999.0,0
15,2,100000002267998100 → 100000003718221100 → 100000002267998100,200000.0,0
16,2,100000003299365100 → 100000003684369100 → 100000003299365100,200000.0,1
17,3,100000004135268100 → 100000004979498100 → 100000008571433100 → 100000004135268100,200000.0,1
18,2,100000000201868100 → 100000006069103100 → 100000000201868100,190000.0,0
19,2,100000002224132100 → 100000004892144100 → 100000002224132100,180300.0,0
20,2,100000004759121100 → 100000006844768100 → 100000004759121100,175000.0,0
21,2,100000000291906100 → 100000004670388100 → 100000000291906100,160354.0,0
22,2,100000002738256100 → 100000004135268100 → 100000002738256100,150200.0,0
23,2,100000003237045100 → 100000006579678100 → 100000003237045100,150000.0,0
24,2,100000004135268100 → 100000008571433100 → 100000004135268100,150000.0,1
25,2,100000000673868100 → 100000008258083100 → 100000000673868100,149500.0,0
26,2,100000000838385100 → 100000008213966100 → 100000000838385100,145000.0,0
27,2,100000004017410100 → 100000005519998100 → 100000004017410100,141000.0,0
