gid,direction,rank,counterparty_gid,sum_kzt,n_tx,counterparty_role,counterparty_cluster,counterparty_seed
100000000011452100,in,1,100000006866783100,75000.0,3,distributor,1,True
100000000011452100,in,2,100000008603629100,20000.0,1,coordinator,7,False
100000000011452100,in,3,100000005140601100,15000.0,3,peripheral,7,False
100000000011452100,out,1,100000005140601100,16685.0,2,peripheral,7,False
100000000018102100,in,1,100000000288317100,7000.0,1,peripheral,1,False
100000000031787100,in,1,100000000267734100,90000.0,2,peripheral,11,False
100000000031787100,out,1,100000000267734100,60000.0,3,peripheral,11,False
100000000031787100,out,2,100000005082652100,30000.0,1,terminal,11,False
100000000041368100,in,1,100000003684369100,160000.0,1,distributor,4,True
100000000076451100,in,1,100000004156082100,42707.0,1,coordinator,16,False
100000000076451100,in,2,100000007131370100,30000.0,1,transit,16,False
100000000076451100,in,3,100000004629688100,15000.0,2,peripheral,16,False
100000000076451100,out,1,100000007131370100,30000.0,1,transit,16,False
100000000076451100,out,2,100000002575080100,13000.0,1,transit,16,False
100000000076451100,out,3,100000004750897100,10000.0,1,terminal,16,False
100000000089154100,in,1,100000006866783100,10000.0,1,distributor,1,True
100000000089154100,out,1,100000006595426100,84800.0,3,terminal,1,False
100000000089154100,out,2,100000008111003100,53700.0,3,consolidator,1,False
100000000089154100,out,3,100000003684369100,49500.0,1,distributor,4,True
100000000190228100,in,1,100000003071930100,5000.0,1,peripheral,3,False
100000000190228100,out,1,100000002613929100,28560.0,1,terminal,3,False
100000000201868100,in,1,100000006069103100,190000.0,1,transit,55,False
100000000201868100,out,1,100000006069103100,190000.0,1,transit,55,False
100000000254336100,in,1,100000004400305100,69588.0,1,distributor,1,False
100000000254336100,in,2,100000000437046100,27589.0,1,coordinator,1,False
100000000254336100,out,1,100000007042175100,60000.0,1,peripheral,1,False
100000000267734100,in,1,100000007747786100,120000.0,1,distributor,11,True
100000000267734100,in,2,100000000031787100,60000.0,3,transit,11,False
100000000267734100,out,1,100000000031787100,90000.0,2,transit,11,False
100000000267734100,out,2,100000002842337100,50000.0,1,terminal,11,False
100000000267734100,out,3,100000007861311100,45000.0,1,terminal,11,False
100000000274067100,in,1,100000002958343100,300000.0,8,peripheral,11,False
100000000274067100,in,2,100000007747786100,217704.0,1,distributor,11,True
100000000274067100,out,1,100000002958343100,2900000.0,4,peripheral,11,False
100000000274067100,out,2,100000005608515100,64000.0,4,terminal,11,False
100000000274067100,out,3,100000006490557100,5000.0,1,terminal,11,False
