rank,src,dst,sum_kzt,n_tx,src_role,dst_role,src_cluster,dst_cluster,src_seed,dst_seed,same_cluster
1,100000002224132100,100000004892144100,4400000.0,6,peripheral,peripheral,25,25,False,False,True
2,100000007594394100,100000006274203100,3376312.0,40,consolidator,peripheral,18,18,False,False,True
3,100000007442518100,100000008258083100,3000000.0,1,peripheral,peripheral,31,31,False,False,True
4,100000003835149100,100000002224132100,2900720.0,6,peripheral,peripheral,25,25,False,False,True
5,100000000274067100,100000002958343100,2900000.0,4,peripheral,peripheral,11,11,False,False,True
6,100000002224132100,100000000594783100,2635000.0,10,peripheral,peripheral,25,25,False,False,True
7,100000002224132100,100000004603109100,2580000.0,6,peripheral,peripheral,25,25,False,False,True
8,100000002224132100,100000000552584100,2500000.0,3,peripheral,peripheral,25,25,False,False,True
9,100000008637537100,100000001732159100,2283100.0,28,peripheral,peripheral,41,41,True,True,True
10,100000004722765100,100000005075949100,2226000.0,7,peripheral,peripheral,48,48,False,False,True
11,100000000331309100,100000001330685100,2071530.0,5,coordinator,peripheral,6,6,False,False,True
12,100000008258083100,100000000673868100,2030650.0,5,peripheral,peripheral,31,31,False,False,True
13,100000002241986100,100000001053894100,2000000.0,7,peripheral,peripheral,40,40,False,False,True
14,100000001965374100,100000005820746100,1989000.0,2,peripheral,peripheral,25,25,False,False,True
15,100000004906181100,100000008175078100,1846711.0,15,peripheral,peripheral,37,37,False,False,True
16,100000002963189100,100000008517061100,1844000.0,4,peripheral,peripheral,15,15,False,False,True
17,100000003835149100,100000001965374100,1699720.0,7,peripheral,peripheral,25,25,False,False,True
18,100000008748914100,100000003684369100,1582700.0,9,distributor,distributor,4,4,False,True,True
19,100000001052945100,100000001131403100,1570000.0,3,peripheral,peripheral,58,58,False,False,True
20,100000002963189100,100000002605308100,1500000.0,3,peripheral,terminal,15,15,False,False,True
21,100000004717647100,100000004479404100,1480000.0,6,peripheral,peripheral,46,46,False,False,True
22,100000004269433100,100000008418835100,1372000.0,67,peripheral,peripheral,16,16,True,True,True
23,100000002849158100,100000002126791100,1313000.0,3,peripheral,peripheral,3,3,False,False,True
24,100000003457710100,100000003220685100,1306000.0,2,peripheral,peripheral,6,6,False,False,True
25,100000002773323100,100000002884708100,1171644.0,2,peripheral,peripheral,3,3,False,False,True
26,100000002963189100,100000005933757100,1150000.0,3,peripheral,distributor,15,15,False,False,True
27,100000008461532100,100000000791285100,1120000.0,2,distributor,peripheral,28,28,False,False,True
28,100000008258458100,100000004035925100,1111588.0,2,peripheral,peripheral,65,65,False,False,True
29,100000000437046100,100000008686313100,1104983.0,6,coordinator,peripheral,1,1,False,False,True
30,100000004017410100,100000005767403100,1100000.0,2,peripheral,peripheral,35,35,False,False,True
31,100000002958343100,100000002872399100,1090000.0,9,peripheral,terminal,11,11,False,False,True
32,100000005041905100,100000002578405100,1080351.0,5,peripheral,distributor,2,2,False,False,True
33,100000008571433100,100000004135268100,1064000.0,2,peripheral,transit,53,53,True,False,True
34,100000008545727100,100000005473151100,1060000.0,1,peripheral,peripheral,8,8,False,False,True
