gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,seed_reach,bridge,rapid_48h,boundary
100000000011452100,peripheral,0.6,1,0.449643,"Недостаточно признаков роли: 3 плательщиков, 1 получателей, колено 1.",1,False,3,1,110000.0,16685.0,7,2,1,0.0,0.5714285714285714,False
100000000018102100,peripheral,0.55,1,0.137082,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,7000.0,0.0,1,0,1,0.0,0.0,True
100000000031787100,transit,0.8,11,0.47089,"Признаки транзита: отдал 100% видимого входа; 1→2 связей, быстрый выход 50%.",2,False,1,2,90000.0,90000.0,2,4,1,0.0,0.5,False
100000000041368100,terminal,0.62,4,0.46509,"Наблюдаемый конечный узел: вход от 1 клиентов (160,000 KZT), исходящих нет; колено 1<4.",1,False,1,0,160000.0,0.0,1,0,4,0.0,0.0,False
100000000076451100,peripheral,0.6,16,0.612394,"Недостаточно признаков роли: 3 плательщиков, 4 получателей, колено 2.",2,False,3,4,87707.0,58000.0,4,4,3,4.6378747402790145e-05,0.25,False
100000000089154100,distributor,0.865,1,0.542004,"Признаки распределения: 15 получателей против 1 плательщиков, исходящий поток 425,500 KZT.",1,False,1,15,10000.0,425500.0,1,21,1,3.0919164935193426e-05,1.0,False
100000000190228100,peripheral,0.6,3,0.399689,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 2.",2,False,1,1,5000.0,28560.0,1,1,3,9.27574948055803e-06,0.0,False
100000000201868100,transit,0.85,55,0.508343,"Признаки транзита: отдал 100% видимого входа; 1→1 связей, быстрый выход 100%.",2,False,1,1,190000.0,190000.0,1,1,1,0.0,1.0,False
100000000254336100,peripheral,0.6,1,0.57034,"Недостаточно признаков роли: 2 плательщиков, 1 получателей, колено 3.",3,False,2,1,97177.0,60000.0,2,1,2,9.27574948055803e-06,1.0,False
100000000267734100,peripheral,0.6,11,0.470301,"Недостаточно признаков роли: 2 плательщиков, 7 получателей, колено 1.",1,False,2,7,180000.0,282000.0,4,8,1,0.0,0.5,False
100000000274067100,peripheral,0.6,11,0.491585,"Недостаточно признаков роли: 2 плательщиков, 3 получателей, колено 1.",1,False,2,3,517704.0,2969000.0,9,9,1,0.0,0.5555555555555556,False
100000000287768100,terminal,0.62,1,0.297812,"Наблюдаемый конечный узел: вход от 1 клиентов (35,168 KZT), исходящих нет; колено 3<4.",3,False,1,0,35168.0,0.0,1,0,1,0.0,0.0,False
100000000288317100,peripheral,0.6,1,0.526768,"Недостаточно признаков роли: 2 плательщиков, 3 получателей, колено 3.",3,False,2,3,100000.0,53500.0,2,3,1,2.782724844167409e-05,0.5,False
100000000291906100,transit,0.7188,51,0.731549,"Признаки транзита: отдал 117% видимого входа; 2→2 связей, быстрый выход 100%.",2,False,2,2,388000.0,455854.0,3,6,1,3.710299792223212e-05,1.0,False
100000000291908100,peripheral,0.6,51,0.441292,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,295500.0,13300.0,5,1,1,9.27574948055803e-06,0.0,False
100000000297649100,peripheral,0.6,13,0.411532,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 2.",2,False,1,1,40000.0,70600.0,1,2,4,0.0,0.0,False
100000000299820100,peripheral,0.55,7,0.141354,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,10000.0,0.0,1,0,1,0.0,0.0,True
100000000307908100,terminal,0.62,44,0.232285,"Наблюдаемый конечный узел: вход от 1 клиентов (5,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,5000.0,0.0,1,0,1,0.0,0.0,False
100000000331309100,coordinator,0.77,6,0.973932,"Гипотеза координации: достижим из 4 seed, 5 плательщиков, мост 0.0014.",2,False,5,99,984635.0,23001375.0,8,126,4,0.0013762479421188247,1.0,False
100000000332284100,consolidator,0.9033,6,0.844988,"Признаки консолидации: 10 плательщиков, 3 получателей, входящий поток 107,426 KZT.",2,False,10,3,107426.0,289500.0,12,3,3,5.4726921935292375e-05,0.4166666666666667,False
100000000343175100,distributor,0.9062,12,0.797961,"Признаки распределения: 31 получателей против 8 плательщиков, исходящий поток 4,000,039 KZT.",0,True,8,31,178712.0,4000039.0,14,33,5,0.0005132581379242111,0.9285714285714286,False
100000000369781100,peripheral,0.55,6,0.186526,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,5000.0,0.0,1,0,3,0.0,0.0,True
100000000375150100,peripheral,0.55,14,0.213959,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,300000.0,0.0,1,0,1,0.0,0.0,True
100000000404740100,peripheral,0.55,27,0.161891,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,25000.0,0.0,1,0,1,0.0,0.0,True
100000000408846100,terminal,0.62,28,0.302992,"Наблюдаемый конечный узел: вход от 1 клиентов (40,500 KZT), исходящих нет; колено 3<4.",3,False,1,0,40500.0,0.0,1,0,1,0.0,0.0,False
100000000413678100,peripheral,0.6,7,0.658485,"Недостаточно признаков роли: 2 плательщиков, 3 получателей, колено 3.",3,False,2,3,306500.0,528198.0,2,18,3,2.782724844167409e-05,1.0,False
100000000424935100,peripheral,0.55,29,0.148077,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,15000.0,0.0,1,0,1,0.0,0.0,True
100000000425407100,terminal,0.62,4,0.271155,"Наблюдаемый конечный узел: вход от 1 клиентов (20,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,20000.0,0.0,1,0,1,0.0,0.0,False
100000000437046100,coordinator,0.83,1,0.977091,"Гипотеза координации: достижим из 4 seed, 9 плательщиков, мост 0.0008.",2,False,9,42,1107200.0,7606224.0,20,73,4,0.0007814461849539929,1.0,False
100000000440392100,terminal,0.62,5,0.404818,"Наблюдаемый конечный узел: вход от 1 клиентов (105,705 KZT), исходящих нет; колено 1<4.",1,False,1,0,105705.0,0.0,4,0,2,0.0,0.0,False
100000000456947100,peripheral,0.6,73,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",0,True,0,0,0.0,0.0,0,0,1,0.0,0.0,False
100000000470237100,peripheral,0.55,29,0.169134,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,32500.0,0.0,1,0,1,0.0,0.0,True
100000000481716100,terminal,0.62,8,0.240792,"Наблюдаемый конечный узел: вход от 1 клиентов (8,000 KZT), исходящих нет; колено 3<4.",3,False,1,0,8000.0,0.0,1,0,1,0.0,0.0,False
100000000489417100,transit,0.7171,14,0.68751,"Признаки транзита: отдал 109% видимого входа; 3→1 связей, быстрый выход 33%.",2,False,3,1,73504.0,80000.0,3,1,2,6.9568121104185225e-06,0.3333333333333333,False
100000000490383100,distributor,0.62,5,0.803077,"Признаки распределения: 8 получателей против 3 плательщиков, исходящий поток 461,375 KZT.",2,False,3,8,62600.0,461375.0,3,9,3,1.855149896111606e-05,0.3333333333333333,False
100000000500040100,peripheral,0.55,1,0.191731,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,20000.0,0.0,1,0,2,0.0,0.0,True
100000000507799100,peripheral,0.6,39,0.392949,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 1.",1,False,1,1,5132.0,8000.0,1,1,2,5.565449688334818e-05,0.0,False
100000000533217100,terminal,0.62,1,0.317171,"Наблюдаемый конечный узел: вход от 1 клиентов (53,587 KZT), исходящих нет; колено 2<4.",2,False,1,0,53587.0,0.0,1,0,1,0.0,0.0,False
100000000534581100,peripheral,0.6,7,0.543183,"Недостаточно признаков роли: 2 плательщиков, 1 получателей, колено 3.",3,False,2,1,55960.0,40000.0,2,1,3,9.27574948055803e-06,0.0,False
100000000542087100,peripheral,0.55,37,0.191969,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,8506.91,0.0,1,0,3,0.0,0.0,True
100000000552584100,peripheral,0.6,25,0.452169,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,2500000.0,57500.0,3,1,2,0.0,0.0,False
100000000555721100,terminal,0.66,1,0.482861,"Наблюдаемый конечный узел: вход от 2 клиентов (113,000 KZT), исходящих нет; колено 1<4.",1,False,2,0,113000.0,0.0,3,0,2,0.0,0.0,False
100000000557536100,peripheral,0.55,37,0.255618,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,153000.0,0.0,7,0,3,0.0,0.0,True
100000000560751100,terminal,0.62,14,0.345416,"Наблюдаемый конечный узел: вход от 1 клиентов (25,000 KZT), исходящих нет; колено 3<4.",3,False,1,0,25000.0,0.0,1,0,2,0.0,0.0,False
