src_cluster,dst_cluster,sum_kzt,n_edges,n_tx
6,1,2429742.0,15,23
1,6,1743832.75,33,41
1,7,1619968.0,28,45
4,1,1531406.0,23,32
7,4,1286439.0,13,20
1,4,1163001.99,29,40
6,4,1039750.0,10,13
3,22,883983.0,11,12
3,10,876680.0,9,9
3,11,795510.0,6,6
7,6,793970.0,5,8
4,6,691391.0,7,9
7,1,673300.0,15,18
10,3,604000.0,5,5
6,12,600000.0,1,2
4,12,590990.0,6,8
7,21,487167.0,2,2
4,21,484000.0,2,2
1,12,436600.0,5,8
1,17,393580.0,7,11
6,17,371570.0,3,5
11,9,363000.0,2,2
4,7,346400.0,8,12
4,14,319293.0,5,5
22,3,305780.0,6,6
10,5,290000.0,1,1
22,10,287000.0,3,3
7,3,281997.0,4,4
6,40,280000.0,1,1
3,5,268000.0,1,1
6,7,265165.0,3,3
1,31,255000.0,2,2
17,4,250506.75,5,6
3,9,244500.0,2,2
5,16,233329.0,7,11
4,5,231233.0,2,2
11,10,230000.0,2,2
17,6,226780.0,5,6
12,6,220000.0,1,1
5,24,208103.0,1,1
1,18,207853.0,5,5
16,5,205160.0,6,7
21,6,200000.0,1,1
12,4,190875.0,2,2
9,3,190000.0,2,2
8,3,177200.0,3,3
6,14,172828.0,3,3
1,14,158913.0,6,9
1,48,157781.0,3,6
14,1,155809.0,4,4
3,41,154700.0,1,1
15,9,152873.0,2,2
22,11,146000.0,1,1
21,22,141710.0,2,2
9,11,140000.0,1,1
7,31,134000.0,1,2
11,3,134000.0,2,2
7,12,119800.0,3,3
10,9,119300.0,2,3
1,9,115937.8,2,2
6,72,110000.0,1,2
5,12,109112.0,5,11
21,3,109020.0,2,2
1,21,108185.0,1,1
17,1,106191.55,6,7
11,18,105000.0,1,1
6,5,104000.0,1,1
8,12,102000.0,2,3
1,41,100638.0,3,3
3,8,100000.0,1,1
6,37,100000.0,1,1
11,15,100000.0,1,1
31,10,99999.0,1,1
7,13,99838.0,2,2
1,11,99388.0,3,6
1,24,93906.0,2,2
12,3,93555.0,1,1
9,10,90000.0,1,1
7,9,87059.0,2,2
7,14,82880.0,3,3
1,5,81434.0,2,2
4,17,81147.0,1,1
14,7,80488.0,3,3
9,8,80000.0,1,1
12,11,80000.0,1,1
15,3,79900.0,3,3
7,17,73000.0,2,2
8,9,72000.0,3,4
4,72,70000.0,1,1
1,32,68702.8,3,3
4,48,60287.0,1,1
11,8,60000.0,1,2
16,12,59600.0,2,2
20,6,59435.0,1,1
15,10,59407.0,1,1
17,7,59000.0,1,1
5,1,57350.0,2,2
15,58,56520.0,1,1
21,10,54510.0,1,1
4,18,54000.0,2,2
3,12,53857.0,3,3
15,8,53157.0,2,2
9,15,53000.0,1,1
18,1,52985.0,1,1
1,36,52900.0,1,1
15,22,52192.0,1,1
4,3,52010.0,1,1
18,6,51558.0,1,1
24,1,51400.0,1,1
7,11,51107.0,2,2
13,11,50900.0,1,1
3,1,50007.0,1,1
4,67,50000.0,1,1
10,12,50000.0,1,1
5,14,49391.0,4,4
3,4,49231.0,2,2
15,20,48100.0,1,1
6,33,47265.0,2,2
1,20,47187.0,1,1
5,13,46800.0,1,1
1,35,46250.0,1,1
13,3,43971.0,2,2
7,10,43439.0,1,1
4,33,43000.0,1,1
6,18,41200.0,1,1
12,13,41050.0,2,2
10,22,41000.0,1,1
8,15,39000.0,1,1
5,55,38818.0,2,2
4,11,38000.0,1,2
5,20,37000.0,2,2
4,13,36050.0,1,1
1,13,33505.0,2,2
5,7,30550.0,1,1
6,21,30000.0,1,1
8,14,30000.0,2,2
9,1,30000.0,1,1
10,49,30000.0,1,1
12,1,30000.0,1,1
14,15,30000.0,1,1
14,3,28000.0,1,1
8,4,27000.0,1,1
12,34,25000.0,1,1
14,4,25000.0,1,1
15,12,25000.0,1,1
43,6,25000.0,1,1
5,63,24000.0,1,1
11,4,23717.0,1,1
3,20,23693.0,1,1
4,38,23000.0,1,1
5,29,23000.0,1,1
20,18,22060.0,1,1
18,16,21000.0,1,2
14,20,20500.0,1,1
1,59,20000.0,1,1
3,49,20000.0,1,1
5,71,20000.0,1,1
20,12,20000.0,1,2
71,5,20000.0,1,1
5,65,19000.0,1,1
7,48,19000.0,1,1
16,10,19000.0,1,1
17,59,19000.0,1,2
11,13,18600.4,1,1
6,11,18500.0,1,1
12,10,17520.0,1,1
10,19,17500.0,1,1
13,1,17000.0,1,1
13,25,17000.0,1,1
16,20,17000.0,1,1
1,22,15744.0,1,1
8,10,15090.0,1,1
16,59,15000.0,1,2
18,5,15000.0,3,3
19,12,15000.0,1,1
64,3,13420.0,2,2
5,27,13070.0,1,1
41,1,13000.0,1,1
33,9,12920.0,1,1
1,46,12000.0,1,2
12,15,10955.0,1,1
12,20,10200.0,1,2
4,43,10000.0,1,1
5,23,10000.0,2,2
5,56,10000.0,1,1
5,59,10000.0,1,2
14,12,10000.0,1,1
19,3,10000.0,1,1
13,10,9900.0,1,1
1,42,9613.0,1,1
6,61,9500.0,1,1
5,3,8600.0,1,1
1,51,8000.0,1,1
35,29,8000.0,1,1
5,8,7700.0,1,1
4,56,7100.0,1,1
1,43,7000.0,1,1
1,23,6800.0,1,1
18,7,6572.0,1,1
5,19,6400.0,1,1
5,18,6014.0,1,1
5,31,6000.0,1,1
8,1,6000.0,1,1
5,15,5746.0,1,1
19,8,5500.0,1,1
6,8,5490.0,1,1
7,28,5300.0,1,1
5,39,5132.0,1,1
4,52,5000.0,1,1
7,15,5000.0,1,1
14,68,5000.0,1,1
22,49,5000.0,1,1
