cluster_id,role,n_nodes,share_cluster,in_kzt,out_kzt,avg_priority_score,top_gids
1,peripheral,123,0.444,11912320.62,5810451.85,0.327981,100000008686313100;100000002741024100;100000007138613100;100000005124479100;100000001066017100
1,terminal,113,0.4079,9415980.54,0.0,0.35483,100000002603769100;100000008566737100;100000002736316100;100000004889043100;100000008730371100
1,consolidator,15,0.0542,10261990.68,2740149.0,0.777289,100000002398779100;100000004299488100;100000004759121100;100000005610717100;100000008111003100
1,transit,11,0.0397,632670.4,591865.97,0.590756,100000008086440100;100000004325327100;100000004737477100;100000001660397100;100000003254277100
1,distributor,9,0.0325,1936829.55,13543289.8,0.761299,100000008731444100;100000004400305100;100000004070318100;100000006866783100;100000007639767100
1,coordinator,6,0.0217,2271733.0,15605297.96,0.911479,100000000437046100;100000008477350100;100000005910114100;100000002957787100;100000004351795100
2,terminal,250,0.9259,6981932.0,0.0,0.281008,100000008737958100;100000004292885100;100000001632325100;100000001952325100;100000008737422100
2,peripheral,14,0.0519,1674911.0,2231687.0,0.298317,100000001166289100;100000002733905100;100000006612238100;100000005342513100;100000006656003100
2,distributor,3,0.0111,1453051.0,7880207.0,0.640633,100000002578405100;100000001697501100;100000002527114100
2,transit,3,0.0111,68150.0,66150.0,0.399496,100000003942602100;100000008493007100;100000004739664100
3,peripheral,76,0.481,12735307.64,7652855.59,0.292279,100000004997515100;100000002849158100;100000003071930100;100000002343825100;100000003589877100
3,terminal,63,0.3987,14157056.0,0.0,0.420591,100000006972210100;100000002793881100;100000001875239100;100000002945626100;100000002883402100
3,distributor,7,0.0443,745361.0,16927877.0,0.66695,100000008710791100;100000008517538100;100000008466579100;100000008465789100;100000008746449100
3,consolidator,6,0.038,5930723.95,10000.0,0.723141,100000002838861100;100000002718366100;100000002369874100;100000003157679100;100000002547110100
3,coordinator,3,0.019,652275.0,11017699.0,0.910035,100000008547948100;100000008489922100;100000008547844100
3,transit,3,0.019,345000.0,346000.0,0.588923,100000008692291100;100000008561016100;100000005367445100
4,terminal,96,0.6575,12723977.0,0.0,0.413878,100000001072022100;100000002480800100;100000005432267100;100000004105288100;100000008556318100
4,peripheral,37,0.2534,4252073.99,5233792.0,0.443829,100000007908818100;100000002988894100;100000003528285100;100000008438656100;100000003366154100
4,distributor,7,0.0479,4472946.75,16992746.0,0.702379,100000005612411100;100000008304139100;100000003684369100;100000004847758100;100000008748914100
4,transit,4,0.0274,1549572.0,1662608.0,0.71623,100000008165763100;100000003946524100;100000003299365100;100000001102676100
4,consolidator,2,0.0137,576041.0,354251.0,0.783119,100000003249054100;100000005830339100
5,terminal,68,0.5354,8873414.68,0.0,0.378558,100000002939838100;100000002173161100;100000004948177100;100000007281639100;100000004664905100
5,peripheral,47,0.3701,6655990.0,4473626.68,0.435076,100000004394765100;100000000667713100;100000006579678100;100000004188160100;100000007777377100
5,transit,6,0.0472,1634270.0,1652991.6,0.670813,100000006518161100;100000004707703100;100000008723830100;100000007544358100;100000003163256100
5,distributor,5,0.0394,1397912.0,13273459.0,0.83897,100000001530983100;100000005287097100;100000003016635100;100000000490383100;100000004150593100
5,consolidator,1,0.0079,1068202.6,0.0,0.707173,100000008144528100
6,terminal,58,0.4603,10534602.55,0.0,0.43452,100000001611488100;100000001689968100;100000008747113100;100000004587414100;100000005409156100
6,peripheral,57,0.4524,14721345.53,5270014.53,0.350572,100000006734214100;100000002628576100;100000003171587100;100000001330685100;100000003035737100
6,consolidator,5,0.0397,2284756.0,797895.8,0.806037,100000006889963100;100000000332284100;100000008560717100;100000003741418100;100000008244300100
6,transit,3,0.0238,313380.0,321910.0,0.669487,100000008192264100;100000002433697100;100000006111439100
6,distributor,2,0.0159,80498.0,1141065.0,0.706819,100000005665181100;100000003796063100
6,coordinator,1,0.0079,984635.0,23001375.0,0.973932,100000000331309100
7,peripheral,72,0.6792,8353956.0,3480884.0,0.303128,100000000413678100;100000004679953100;100000008620570100;100000008739887100;100000003366471100
7,terminal,26,0.2453,2405745.0,0.0,0.354599,100000002704875100;100000008223756100;100000005133757100;100000002697752100;100000008097580100
