component_id,n_nodes,n_seed,sum_kzt_internal,n_edges_internal,top_gids,top_priority,is_main_component
1,1877,46,342125465.01,2735,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,0.981072,True
2,270,1,10178044.0,279,100000002578405100;100000001697501100;100000002527114100;100000001166289100;100000002733905100,0.700712,False
3,17,1,2977887.0,31,100000004160650100;100000004144536100;100000002731501100;100000004005964100;100000003616818100,0.619362,False
4,13,1,1392916.0,14,100000001380054100;100000005077484100;100000003164661100;100000000703894100;100000004192865100,0.454871,False
5,6,1,1615030.0,14,100000008736940100;100000008751429100;100000008193577100;100000005456919100;100000008659445100,0.505555,False
6,6,1,1527967.0,7,100000007939160100;100000005183943100;100000000580561100;100000003888271100;100000000955444100,0.40315,False
7,6,1,275885.0,5,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100,0.345379,False
8,6,1,383300.0,8,100000004331458100;100000004094958100;100000005546031100;100000005363908100;100000005547096100,0.444104,False
9,5,1,2809200.0,7,100000004135268100;100000002738256100;100000008571433100;100000004979498100;100000007507343100,0.653167,False
10,5,2,108007.0,4,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,0.466904,False
11,4,1,1404980.0,5,100000001872484100;100000000785800100;100000008601794100;100000002459163100,0.42352,False
12,4,1,79050.0,4,100000003148220100;100000006888238100;100000001852140100;100000004971871100,0.369987,False
13,3,1,450000.0,2,100000002371751100;100000000769919100;100000007018630100,0.395925,False
14,3,1,450816.0,2,100000005034574100;100000007283257100;100000004388983100,0.369049,False
15,2,1,30000.0,1,100000003980083100;100000003200071100,0.291157,False
16,2,1,81465.0,1,100000003865939100;100000005392290100,0.330632,False
17,1,1,0.0,0,100000000456947100,0.120332,False
18,1,1,0.0,0,100000003265658100,0.120332,False
19,1,1,0.0,0,100000003349739100,0.120332,False
20,1,1,0.0,0,100000003770083100,0.120332,False
21,1,1,0.0,0,100000004021459100,0.120332,False
22,1,1,0.0,0,100000004174835100,0.120332,False
23,1,1,0.0,0,100000005017150100,0.120332,False
24,1,1,0.0,0,100000005087431100,0.120332,False
25,1,1,0.0,0,100000005235389100,0.120332,False
26,1,1,0.0,0,100000005480435100,0.120332,False
27,1,1,0.0,0,100000005495722100,0.120332,False
28,1,1,0.0,0,100000005550592100,0.120332,False
29,1,1,0.0,0,100000005560900100,0.120332,False
30,1,1,0.0,0,100000005568407100,0.120332,False
31,1,1,0.0,0,100000008117324100,0.120332,False
32,1,1,0.0,0,100000008205000100,0.120332,False
33,1,1,0.0,0,100000008513251100,0.120332,False
34,1,1,0.0,0,100000008669037100,0.120332,False
35,1,1,0.0,0,100000008701222100,0.120332,False
