component_id,flag,n_nodes,share_component,avg_priority_score,top_gids,meaning
1,gives_more_than_received,325,0.1731,0.54979,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000001530983100,исходящий поток выше видимого входа
1,cycle,261,0.1391,0.583434,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел входит в направленный возвратный поток
1,chain_transit,74,0.0394,0.719499,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел является внутренним звеном сквозной цепочки
1,repeat_amount,45,0.024,0.667735,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000005933757100,одна и та же сумма отправлялась многократно
1,sync_payers,37,0.0197,0.771511,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,несколько разных плательщиков в один день
1,near_threshold,36,0.0192,0.500503,100000002957787100;100000000332284100;100000008546855100;100000003741418100;100000003016635100,много входящих переводов у порога 5-10 тыс. KZT
1,relay_route,32,0.017,0.725888,100000008603629100;100000000437046100;100000002398779100;100000008710791100;100000007594394100,узел является посредником устойчивого маршрута пересылки
1,boundary_likely_continues,10,0.0053,0.284202,100000003037476100;100000003072205100;100000004652395100;100000006638021100;100000005783452100,граничный узел с вероятным скрытым исходящим продолжением
2,cycle,10,0.037,0.463502,100000002578405100;100000001697501100;100000002527114100;100000001166289100;100000002733905100,узел входит в направленный возвратный поток
2,gives_more_than_received,8,0.0296,0.434995,100000002578405100;100000001697501100;100000002527114100;100000002733905100;100000002214664100,исходящий поток выше видимого входа
2,repeat_amount,3,0.0111,0.640633,100000002578405100;100000001697501100;100000002527114100,одна и та же сумма отправлялась многократно
2,chain_transit,2,0.0074,0.563219,100000002578405100;100000008493007100,узел является внутренним звеном сквозной цепочки
2,near_threshold,1,0.0037,0.291157,100000004825069100,много входящих переводов у порога 5-10 тыс. KZT
3,cycle,5,0.2941,0.492926,100000004160650100;100000002731501100;100000004005964100;100000003616818100;100000004007116100,узел входит в направленный возвратный поток
3,gives_more_than_received,4,0.2353,0.499826,100000004160650100;100000002731501100;100000003616818100;100000001330595100,исходящий поток выше видимого входа
3,repeat_amount,2,0.1176,0.573357,100000004160650100;100000002731501100,одна и та же сумма отправлялась многократно
3,sync_payers,1,0.0588,0.527352,100000002731501100,несколько разных плательщиков в один день
4,gives_more_than_received,5,0.3846,0.333031,100000001380054100;100000006232815100;100000001782980100;100000000607731100;100000006734554100,исходящий поток выше видимого входа
4,cycle,3,0.2308,0.39464,100000001380054100;100000005077484100;100000006232815100,узел входит в направленный возвратный поток
5,cycle,5,0.8333,0.465517,100000008736940100;100000008751429100;100000008193577100;100000005456919100;100000008659445100,узел входит в направленный возвратный поток
5,gives_more_than_received,2,0.3333,0.440192,100000008193577100;100000008659445100,исходящий поток выше видимого входа
6,cycle,3,0.5,0.353762,100000007939160100;100000000580561100;100000003888271100,узел входит в направленный возвратный поток
6,gives_more_than_received,2,0.3333,0.329068,100000000580561100;100000003888271100,исходящий поток выше видимого входа
8,cycle,2,0.3333,0.353766,100000005546031100;100000005547096100,узел входит в направленный возвратный поток
8,gives_more_than_received,2,0.3333,0.356824,100000004094958100;100000005547096100,исходящий поток выше видимого входа
8,near_threshold,1,0.1667,0.436766,100000005546031100,много входящих переводов у порога 5-10 тыс. KZT
9,cycle,4,0.8,0.495857,100000004135268100;100000002738256100;100000008571433100;100000004979498100,узел входит в направленный возвратный поток
9,gives_more_than_received,2,0.4,0.460615,100000002738256100;100000008571433100,исходящий поток выше видимого входа
9,relay_route,1,0.2,0.653167,100000004135268100,узел является посредником устойчивого маршрута пересылки
10,near_threshold,1,0.2,0.466904,100000006562026100,много входящих переводов у порога 5-10 тыс. KZT
11,cycle,3,0.75,0.408965,100000001872484100;100000000785800100;100000008601794100,узел входит в направленный возвратный поток
11,gives_more_than_received,1,0.25,0.39675,100000008601794100,исходящий поток выше видимого входа
12,cycle,2,0.5,0.316714,100000003148220100;100000004971871100,узел входит в направленный возвратный поток
12,gives_more_than_received,2,0.5,0.355912,100000003148220100;100000006888238100,исходящий поток выше видимого входа
13,gives_more_than_received,1,0.3333,0.395925,100000002371751100,исходящий поток выше видимого входа
14,repeat_amount,1,0.3333,0.169889,100000004388983100,одна и та же сумма отправлялась многократно
