role,flag,n_nodes,share_role,avg_priority_score,top_gids,meaning
coordinator,gives_more_than_received,17,1.0,0.92623,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000004156082100,исходящий поток выше видимого входа
coordinator,cycle,16,0.9412,0.927294,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000004156082100,узел входит в направленный возвратный поток
coordinator,chain_transit,12,0.7059,0.934163,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000008477350100,узел является внутренним звеном сквозной цепочки
coordinator,repeat_amount,6,0.3529,0.933775,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000008489922100,одна и та же сумма отправлялась многократно
coordinator,sync_payers,6,0.3529,0.959335,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000001857829100,несколько разных плательщиков в один день
coordinator,relay_route,4,0.2353,0.918003,100000008603629100;100000000437046100;100000002957787100;100000007593823100,узел является посредником устойчивого маршрута пересылки
coordinator,near_threshold,1,0.0588,0.900323,100000002957787100,много входящих переводов у порога 5-10 тыс. KZT
consolidator,sync_payers,17,0.3617,0.794133,100000003115284100;100000006889963100;100000002398779100;100000008730846100;100000004299488100,несколько разных плательщиков в один день
consolidator,cycle,15,0.3191,0.850683,100000003115284100;100000007594394100;100000004015047100;100000004299488100;100000004759121100,узел входит в направленный возвратный поток
consolidator,chain_transit,9,0.1915,0.855313,100000003115284100;100000002398779100;100000004299488100;100000005610717100;100000008111003100,узел является внутренним звеном сквозной цепочки
consolidator,gives_more_than_received,7,0.1489,0.856321,100000008730846100;100000007594394100;100000000661912100;100000003747133100;100000000332284100,исходящий поток выше видимого входа
consolidator,near_threshold,6,0.1277,0.785049,100000000332284100;100000008546855100;100000003741418100;100000003159641100;100000003249054100,много входящих переводов у порога 5-10 тыс. KZT
consolidator,relay_route,5,0.1064,0.860639,100000002398779100;100000007594394100;100000004299488100;100000007055802100;100000007629096100,узел является посредником устойчивого маршрута пересылки
consolidator,repeat_amount,2,0.0426,0.901125,100000007594394100;100000004299488100,одна и та же сумма отправлялась многократно
distributor,gives_more_than_received,53,0.8983,0.747905,100000001530983100;100000008731444100;100000005933757100;100000008710791100;100000008743913100,исходящий поток выше видимого входа
distributor,cycle,36,0.6102,0.756707,100000008733194100;100000005933757100;100000004400305100;100000004070318100;100000008461532100,узел входит в направленный возвратный поток
distributor,chain_transit,21,0.3559,0.788519,100000008731444100;100000008710791100;100000004400305100;100000004070318100;100000005612411100,узел является внутренним звеном сквозной цепочки
distributor,repeat_amount,20,0.339,0.702292,100000005933757100;100000004400305100;100000004070318100;100000005287097100;100000003684369100,одна и та же сумма отправлялась многократно
distributor,relay_route,7,0.1186,0.832106,100000008710791100;100000004070318100;100000008304139100;100000004847758100;100000006866783100,узел является посредником устойчивого маршрута пересылки
distributor,sync_payers,3,0.0508,0.83341,100000003684369100;100000006866783100;100000003016635100,несколько разных плательщиков в один день
distributor,near_threshold,2,0.0339,0.814399,100000003016635100;100000005665181100,много входящих переводов у порога 5-10 тыс. KZT
transit,cycle,31,0.4559,0.592107,100000003635170100;100000006518161100;100000008324800100;100000006069103100;100000003946524100,узел входит в направленный возвратный поток
transit,gives_more_than_received,31,0.4559,0.607263,100000008165763100;100000006518161100;100000003265158100;100000006069103100;100000003946524100,исходящий поток выше видимого входа
transit,chain_transit,9,0.1324,0.558696,100000006069103100;100000004737477100;100000008561016100;100000005186131100;100000008501413100,узел является внутренним звеном сквозной цепочки
transit,relay_route,4,0.0588,0.722519,100000006518161100;100000004707703100;100000004135268100;100000008561016100,узел является посредником устойчивого маршрута пересылки
transit,near_threshold,2,0.0294,0.620611,100000006111439100;100000002293421100,много входящих переводов у порога 5-10 тыс. KZT
transit,sync_payers,2,0.0294,0.796107,100000008165763100;100000004336312100,несколько разных плательщиков в один день
transit,repeat_amount,1,0.0147,0.814073,100000008324800100,одна и та же сумма отправлялась многократно
terminal,near_threshold,7,0.0066,0.388543,100000006562026100;100000000646541100;100000001641951100;100000003971049100;100000008097580100,много входящих переводов у порога 5-10 тыс. KZT
terminal,sync_payers,5,0.0047,0.586971,100000007229557100;100000002793881100;100000001875239100;100000002443664100;100000002956769100,несколько разных плательщиков в один день
peripheral,gives_more_than_received,246,0.247,0.448373,100000005074393100;100000007442518100;100000005782781100;100000005339662100;100000008512552100,исходящий поток выше видимого входа
peripheral,cycle,200,0.2008,0.476531,100000005074393100;100000008686313100;100000007442518100;100000003701161100;100000002741024100,узел входит в направленный возвратный поток
peripheral,chain_transit,25,0.0251,0.554977,100000008686313100;100000003701161100;100000005339662100;100000008512552100;100000003390036100,узел является внутренним звеном сквозной цепочки
peripheral,repeat_amount,22,0.0221,0.500989,100000007908818100;100000000413678100;100000002267998100;100000002175422100;100000008637537100,одна и та же сумма отправлялась многократно
peripheral,near_threshold,21,0.0211,0.381548,100000002941114100;100000001616816100;100000002156381100;100000004209339100;100000003899899100,много входящих переводов у порога 5-10 тыс. KZT
peripheral,relay_route,13,0.0131,0.553196,100000008686313100;100000003701161100;100000005339662100;100000002267998100;100000008637537100,узел является посредником устойчивого маршрута пересылки
peripheral,boundary_likely_continues,10,0.01,0.284202,100000003037476100;100000003072205100;100000004652395100;100000006638021100;100000005783452100,граничный узел с вероятным скрытым исходящим продолжением
peripheral,sync_payers,5,0.005,0.557938,100000005782781100;100000002849158100;100000001887715100;100000002731501100;100000004652395100,несколько разных плательщиков в один день
