seed_gid,cluster_id,reachable_nodes,direct_recipients,direct_out_kzt,max_depth_reached
100000000343175100,12,72,31,4000039.0,4
100000000456947100,73,0,0,0.0,0
100000000580561100,45,5,3,1488077.0,2
100000001415126100,20,0,0,0.0,0
100000001429930100,14,0,0,0.0,0
100000001616816100,9,6,3,181326.0,2
100000001732159100,41,5,4,1505966.0,2
100000002527114100,2,269,111,3289249.0,4
100000002916006100,20,1,1,32000.0,1
100000003016635100,5,580,73,9414081.0,4
100000003200071100,69,1,1,30000.0,1
100000003265658100,74,0,0,0.0,0
100000003349739100,75,0,0,0.0,0
100000003684369100,4,120,62,8588655.0,4
100000003770083100,76,0,0,0.0,0
100000003975102100,5,7,2,88500.0,3
100000003977183100,9,10,4,766000.0,4
100000004007116100,26,16,4,148000.0,4
100000004019124100,5,0,0,0.0,0
100000004021459100,77,0,0,0.0,0
100000004041163100,20,2,2,866000.0,1
100000004174835100,78,0,0,0.0,0
100000004193835100,5,3,1,5000.0,3
100000004269433100,16,110,1,1372000.0,4
100000004358004100,4,241,11,980850.0,4
100000004388983100,66,2,2,450816.0,1
100000004714705100,20,2,1,36550.0,2
100000004723755100,4,561,1,95000.0,4
100000004813068100,25,13,3,297000.0,3
100000004971871100,60,3,1,5650.0,3
100000005017150100,79,0,0,0.0,0
100000005087431100,80,0,0,0.0,0
100000005235389100,81,0,0,0.0,0
100000005264990100,20,6,2,122000.0,3
100000005370580100,14,0,0,0.0,0
100000005382566100,20,2,1,50000.0,2
100000005386383100,20,3,1,29000.0,3
100000005392290100,70,1,1,81465.0,1
100000005395727100,16,0,0,0.0,0
100000005409680100,18,0,0,0.0,0
100000005417257100,20,3,2,106000.0,2
100000005454368100,14,0,0,0.0,0
100000005480435100,82,0,0,0.0,0
100000005485830100,47,5,5,275885.0,1
100000005493505100,14,0,0,0.0,0
100000005495722100,83,0,0,0.0,0
100000005498992100,3,323,16,2262868.0,4
100000005519347100,5,1,1,99000.0,1
100000005523088100,20,0,0,0.0,0
100000005543136100,14,1,1,10000.0,1
100000005550592100,84,0,0,0.0,0
100000005560900100,85,0,0,0.0,0
100000005568407100,86,0,0,0.0,0
100000005668605100,20,0,0,0.0,0
100000005744674100,20,3,1,50066.0,3
100000006232815100,30,12,5,296500.0,3
100000006249740100,54,3,3,93007.0,1
100000006831291100,54,1,1,15000.0,1
100000006866783100,1,1111,67,3948037.0,4
100000007018630100,62,2,1,200000.0,2
100000007747786100,11,96,31,4238009.4,4
100000007982728100,9,132,8,1804384.0,4
100000008117324100,87,0,0,0.0,0
100000008205000100,88,0,0,0.0,0
100000008314203100,41,5,2,327000.0,2
100000008418835100,16,231,4,186179.0,4
100000008513251100,89,0,0,0.0,0
100000008516839100,20,0,0,0.0,0
100000008522127100,64,129,1,145000.0,4
100000008571433100,53,4,2,1434000.0,2
100000008575624100,50,5,3,89500.0,2
100000008601794100,57,3,1,871400.0,2
100000008637537100,41,5,3,2351495.0,2
100000008650785100,5,3,2,120120.0,2
100000008654653100,5,1,1,54000.0,1
100000008659445100,44,5,4,875150.0,2
100000008669037100,90,0,0,0.0,0
100000008673001100,20,0,0,0.0,0
100000008680731100,13,93,27,1464354.0,4
100000008701222100,91,0,0,0.0,0
100000008738325100,20,1,1,54000.0,1
