route_id,kind,hops,path,relay_days,forwarded_kzt,first_date,last_date,n_seed
1,repeated,2,100000008314203100 → 100000008637537100 → 100000001732159100,5,327000.0,2026-07-01,2026-07-17,3
2,repeated,2,100000004400305100 → 100000007594394100 → 100000006274203100,3,471100.0,2026-07-17,2026-07-19,0
3,repeated,2,100000006579678100 → 100000003016635100 → 100000004559194100,3,198485.0,2026-07-09,2026-07-11,1
4,repeated,2,100000002267998100 → 100000003701161100 → 100000003718221100,3,120000.0,2026-07-06,2026-07-20,0
5,repeated,2,100000006866783100 → 100000008686313100 → 100000002826669100,3,109900.0,2026-07-09,2026-07-16,1
6,repeated,2,100000005048668100 → 100000008603629100 → 100000005830339100,3,97838.0,2026-07-16,2026-07-27,0
7,repeated,2,100000005287097100 → 100000003016635100 → 100000000440392100,3,70925.0,2026-07-04,2026-07-10,1
8,repeated,2,100000005287097100 → 100000003016635100 → 100000000667713100,3,30000.0,2026-07-04,2026-07-20,1
9,repeated,2,100000008571433100 → 100000004135268100 → 100000004979498100,2,700000.0,2026-07-10,2026-07-11,1
10,repeated,2,100000003835149100 → 100000002224132100 → 100000000594783100,2,520000.0,2026-07-08,2026-07-27,0
11,repeated,2,100000001857829100 → 100000003880331100 → 100000008603629100,2,398000.0,2026-07-21,2026-07-23,0
12,repeated,2,100000003718221100 → 100000002267998100 → 100000003701161100,2,300000.0,2026-07-09,2026-07-11,0
13,repeated,2,100000001857829100 → 100000003880331100 → 100000003684369100,2,282000.0,2026-07-21,2026-07-23,1
14,repeated,2,100000000331309100 → 100000004906181100 → 100000008175078100,2,260000.0,2026-07-05,2026-07-07,0
15,repeated,2,100000005782781100 → 100000007594394100 → 100000006274203100,2,196000.0,2026-07-15,2026-07-17,0
16,repeated,2,100000008517538100 → 100000008710791100 → 100000008561016100,2,180000.0,2026-07-25,2026-07-26,0
17,repeated,2,100000006866783100 → 100000007055802100 → 100000004299488100,2,156000.0,2026-07-13,2026-07-15,1
18,repeated,2,100000008710791100 → 100000008561016100 → 100000001724740100,2,150000.0,2026-07-25,2026-07-26,0
19,repeated,2,100000003016635100 → 100000004707703100 → 100000002335358100,2,140000.0,2026-07-03,2026-07-04,1
20,repeated,2,100000008165763100 → 100000007594394100 → 100000006274203100,2,129412.0,2026-07-14,2026-07-15,0
21,repeated,2,100000004351795100 → 100000000437046100 → 100000003834495100,2,127441.0,2026-07-29,2026-07-31,0
22,repeated,2,100000003016635100 → 100000006518161100 → 100000005660203100,2,125900.0,2026-07-13,2026-07-22,1
23,repeated,2,100000003242289100 → 100000008304139100 → 100000003684369100,2,121000.0,2026-07-22,2026-07-24,1
24,repeated,2,100000004390333100 → 100000000437046100 → 100000007055802100,2,115000.0,2026-07-16,2026-07-19,0
25,repeated,2,100000008086440100 → 100000000437046100 → 100000007055802100,2,115000.0,2026-07-13,2026-07-15,0
26,repeated,2,100000005287097100 → 100000003016635100 → 100000004948177100,2,113463.0,2026-07-04,2026-07-09,1
27,repeated,2,100000004390333100 → 100000006866783100 → 100000007055802100,2,100000.0,2026-07-16,2026-07-18,1
28,repeated,2,100000006866783100 → 100000004299488100 → 100000007055802100,2,100000.0,2026-07-11,2026-07-13,1
29,repeated,2,100000005910114100 → 100000007629096100 → 100000002741024100,2,97170.0,2026-07-02,2026-07-14,0
30,repeated,2,100000001857829100 → 100000008121806100 → 100000005360814100,2,85000.0,2026-07-10,2026-07-11,0
31,repeated,2,100000005287097100 → 100000003016635100 → 100000006518161100,2,83700.0,2026-07-04,2026-07-07,1
32,repeated,2,100000004351795100 → 100000000437046100 → 100000007055802100,2,75000.0,2026-07-18,2026-07-19,0
33,repeated,2,100000001857829100 → 100000008603629100 → 100000005830339100,2,70268.0,2026-07-25,2026-07-27,0
34,repeated,2,100000008686313100 → 100000008603629100 → 100000005830339100,2,70268.0,2026-07-25,2026-07-27,0
35,repeated,2,100000004156082100 → 100000005339662100 → 100000004820260100,2,69000.0,2026-07-29,2026-07-31,0
36,repeated,2,100000005910114100 → 100000006866783100 → 100000004071080100,2,67000.0,2026-07-04,2026-07-09,1
37,repeated,2,100000008637537100 → 100000001732159100 → 100000008314203100,2,63076.0,2026-07-06,2026-07-14,3
38,repeated,2,100000008086440100 → 100000008603629100 → 100000005830339100,2,52570.0,2026-07-16,2026-07-25,0
39,repeated,2,100000000437046100 → 100000008757369100 → 100000008757301100,2,52498.0,2026-07-26,2026-07-27,0
40,repeated,2,100000008636603100 → 100000003016635100 → 100000000440392100,2,47325.0,2026-07-05,2026-07-07,1
41,repeated,2,100000005287097100 → 100000003016635100 → 100000008188026100,2,40034.0,2026-07-07,2026-07-13,1
42,repeated,2,100000008603629100 → 100000004847758100 → 100000003684369100,2,36000.0,2026-07-17,2026-07-19,1
43,repeated,2,100000001732159100 → 100000008314203100 → 100000008637537100,2,35000.0,2026-07-07,2026-07-15,3
44,repeated,2,100000004400305100 → 100000004070318100 → 100000003747133100,2,32000.0,2026-07-10,2026-07-11,0
45,repeated,2,100000005287097100 → 100000003016635100 → 100000004394765100,2,30371.0,2026-07-11,2026-07-23,1
46,repeated,2,100000008304139100 → 100000006866783100 → 100000000961900100,2,27000.0,2026-07-08,2026-07-14,1
47,repeated,2,100000001660397100 → 100000006866783100 → 100000008686313100,2,22295.0,2026-07-08,2026-07-12,1
48,repeated,2,100000008304139100 → 100000006866783100 → 100000008686313100,2,22295.0,2026-07-08,2026-07-12,1
49,repeated,2,100000004400305100 → 100000007593823100 → 100000008730846100,2,20000.0,2026-07-19,2026-07-21,0
50,repeated,2,100000004269433100 → 100000008418835100 → 100000008730021100,2,15555.0,2026-07-18,2026-07-23,2
51,repeated,2,100000005268319100 → 100000002957787100 → 100000004071080100,2,15000.0,2026-07-02,2026-07-04,0
52,repeated,2,100000001609499100 → 100000002398779100 → 100000008576243100,2,12000.0,2026-07-09,2026-07-10,0
53,repeated,2,100000004351795100 → 100000002398779100 → 100000008576243100,2,12000.0,2026-07-09,2026-07-10,0
54,repeated,2,100000004017410100 → 100000003934614100 → 100000004336312100,2,11500.0,2026-07-16,2026-07-18,0
55,chain,3,100000008517538100 → 100000008710791100 → 100000008561016100 → 100000001724740100,2,150000.0,2026-07-25,2026-07-26,0
56,chain,3,100000008304139100 → 100000000437046100 → 100000008757369100 → 100000008757301100,2,52498.0,2026-07-26,2026-07-27,0
57,chain,3,100000005048668100 → 100000008603629100 → 100000004847758100 → 100000003684369100,2,36000.0,2026-07-16,2026-07-19,1
58,chain,3,100000008086440100 → 100000008603629100 → 100000004847758100 → 100000003684369100,2,36000.0,2026-07-16,2026-07-19,1
59,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006530134100,1,121240.0,2026-07-12,2026-07-16,0
60,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003242795100,1,111000.0,2026-07-12,2026-07-16,0
61,chain,3,100000002723538100 → 100000008603629100 → 100000005357705100 → 100000008337304100,1,105465.0,2026-07-24,2026-07-26,0
62,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001530983100,1,104000.0,2026-07-12,2026-07-16,0
63,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000004889043100,1,100000.0,2026-07-12,2026-07-14,0
64,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006734214100,1,100000.0,2026-07-12,2026-07-16,0
65,chain,3,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000000810551100,1,100000.0,2026-07-21,2026-07-22,1
66,chain,3,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000008739887100,1,97000.0,2026-07-21,2026-07-22,0
67,chain,3,100000008346837100 → 100000005910114100 → 100000006866783100 → 100000003102157100,1,96746.0,2026-07-10,2026-07-13,1
68,chain,3,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000003215448100,1,91309.0,2026-07-21,2026-07-22,0
69,chain,3,100000006866783100 → 100000007055802100 → 100000004299488100 → 100000004674799100,1,90000.0,2026-07-13,2026-07-15,1
70,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000002983879100,1,85950.0,2026-07-12,2026-07-16,0
71,chain,3,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000004217419100,1,80000.0,2026-07-21,2026-07-23,0
72,chain,3,100000003796063100 → 100000000331309100 → 100000004299488100 → 100000007055802100,1,80000.0,2026-07-12,2026-07-12,0
73,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003035737100,1,75515.0,2026-07-12,2026-07-15,0
74,chain,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001835625100,1,75130.0,2026-07-12,2026-07-16,0
